,category,company,degree,details,employment_type,experience,industry,location,salary,title,travel
0,Information Technology,"Synergy Business Consulting, Inc.",Degree - 4 Year Degree,"
Data Scientist
Position Summary:
 
Seeking a talented, experienced and inquisitive Data Scientist to design and implement cutting edge solutions across a breadth of domain areas.  The ideal candidate is well grounded in a mathematical, statistical and probability background, with a broad knowledge of machine learning techniques and cognitive services.
 
This Data Scientist will focus on selecting, evaluating, and optimizing software solutions, code development, and integrations into IT systems as part of a growing Data Science. This individual will work with a multidisciplinary team of driven people to deliver end to end solutions that improve guest experience and address pain points of the business across applications such as Cloud Computing, Data Science Virtual Machines (Linux), Optimal Scripting Techniques, and Distributed File / Computational Systems.
 

Data Scientist-Essential Duties and Responsibilities:
 
A successful candidate will possess a strong background or operational familiarity in statistics, mathematics, modeling (predictive, forecasting, optimization).  The candidate should demonstrate a progressive maturation of prior technical and development projects from ad-hoc requests to fully fault-tolerant and optimized solutions architected into broader IT systems.  The candidate should also be capable of and willing to train and mentor colleagues on the proper training, development and deployment of technically robust and optimizing analytic solutions for data science applications.
 
This individual will be responsible for analytical support, data mining, scripting / programming, mentorship and stakeholder presentation within the framework of implementing, utilizing and expanding development and release best practices within the broader Data Science team. 
 
Data Scientist Major responsibilities include:
 
·         Apply several forms of statistical (hypothesis testing, sampling, modeling, probability, time-series) and machine learning (neural networks / deep networks, ensemble methods, natural language processing) methods to describe, predict and optimize desired analytical objectives from business stakeholders.
 
·         Manipulates high-volume, high-dimensionality data from varying sources to highlight patterns, anomalies, relationships and trends.
·         Evaluate the progress of the data science team and company at large on the acclimation of robust, optimal and faul-tolerant technical solutions for predictive, natural language and artificial intelligence tasks. Recommend steps to improve or enforce utilization of these methods.
·         Empower and enhance the capabilities of the broader data science team on the proper environment setup, optimal and faul-tolarant scripting of solutions, and efficiency of deployed models through training, mentoring and project assistance as needed. 
·         Collaborate with IT, Business and Analytics stakeholders to design and implement solution infrastructure, release schedules, and system needs into the wider company data architecture.
·         Assist with research related to customer based analytical practice and develop communications for management and strategies for building institutional knowledge. Work with product and enterprise teams via both Agile And Waterfall Methodologies.
 
·         Foster a ‘data-driven’ culture based on pragmatism and strategic decision through rigorous factual analysis at all levels.  Should be willing to engage outside the immediate team to expand data science footprint throughout organization.
 




 

Data Scientist Qualifications
·         Master’s degree in Statistics, Operations Research, Mathematics, Economics, Computer Science, Engineering, Physics, Chemical Engineering, Information Technology or field of comparable foundations in mathematical and statistical analysis through the use of models, algorithms or programmed solutions.
·         2+ years experience with any of the following programming languages: R, Python, Java, C++, C#, Scala, SAS or similar scripting languages.  Similar experience and proficiency with SQL required.
·         2+ years experience with a variety of information technology tools and practices including Software Engineering and Development (documentation, programming), Operations (event monitoring, software deployments, system administration), and Quality Assurance (positive / negative unit testing, maintenance)
·         Experience with data mining processes (SEMMA, CRISP-DM), data preparation, consolidation, imputation, transformation, interaction, variable reduction, modeling, maintenance, and post-mortem analysis.
·         Experience with statistical methods such t-test of means, Tukey-HSD tests of means on groups, ANOVA, Proportion tests, data normalization and scaling, univariate and multivariate outlier detection.
·         Experience with modeling techniques such as linear models, decision trees, neural networks, k-nearest-neighbor, support vector machines, cluster analyses, and ensembling methods.
·         Strong Oral and Written skills.

 
Data Scientist Preferred Qualifications in Addition to Basic Qualifications



         Experience with Agile Software Development


         Terminal or Shell scripting in Linux systems


         Experience in a large corporation or consulting firm with focus in marketing strategies, modeling, CRM and management sciences/statistics highly desired


         Experience with Deep Learning tools and packages such as TensorFlow, Keras, H2O, and Theano


        Experience with frameworks and languages designed for big-data analysis, including Hadoop, Spark, Hive, and Pig


        Experience with cloud computing frameworks or API’s such as Microsoft Azure, Amazon Web Services and IBM / Watson



 






Irvens André
Sr. Technical Recruiter
Synergy Business Consulting, Inc.
Technology | Relationships | Solutions
Office: 470-639-1491 | Email:iandre@synergybc.com  







",Full-Time,Experience - 1 to 10 years,Travel,"Miami, FL","$90,000.00 - $110,000.00 /Year",Data Scientist,Travel
1,"Biotech, Research, Science, Information Technology, Manufacturing",Kelly Scientific Resources,Degree - Graduate Degree,"
Machine Vision Research Scientist (DOD Security Clearance)— Torrance, CAA fast-growing Southern California company specializing in military defense, homeland security, and energy solutions is seeking a hand-on Research Scientist for its Electro-Optics Division. The successful candidate should be eager to work in a very dynamic, fast-paced research and development setting with a number of Ph.D.-level engineers and scientists.   Essential Duties and Responsibilities:
 Development, integration, and test of machine vision systems and subsystems.
 Deriving system requirements and specifications with a technical team.
 Developing and realizing software designs as a team member or a technical lead.
 Apply methods of image acquisition/processing/analysis systems and interpreting results of tradeoffs analyses (e.g., resolution, field-of-view, size, weight, power, cost, manufacturability
 Develop new scientific and engineering concepts, carry out design and development, write winning proposals, execute technical tasks of the contract, realize prototypes, perform test and evaluation, provide documentation, manage multidisciplinary projects.
 Participates in and supports development and implementation of new or updated systems, processes, Standard Operating Procedures (SOPs) and/or other relevant tools.

Job Requirements:
 MS required with 5-8 years’ experience, PhD preferred with 3-5 years’ experience (Computer Science, Robotics, Image Processing, and other related engineering areas preferred).
 Experienced in theory and practical implementations of the machine vision, robotic vision, image/video based machine learning, and artificial intelligence.
 Experience in the modern computer science tools (programing languages e.g. Matlab, C/C++, OpenGL and OpenCV libraries, etc.) for 3D reconstruction, object detection, tracking, classification and recognition.
 Demonstrated skills in image processing, computational geometry, computer graphics, mathematical modelling of physical and engineering objects/processes, algorithm development.
 Experienced in methods of image acquisition/processing/analysis systems easy applying results of the tradeoffs analysis (e.g., resolution, field-of-view, size, weight, power, cost, manufacturability) and component selections.
 Ability to multitask and work as individual contributor and be an excellent team player.
 Good verbal and written communication skills are required.
 MUST be eligible for DOD Security Clearance—requires U.S. Citizenship, U.S. Permanent Residency, or other status as defined by 8 USC 1324b(a)(3)

Apply Today!  Questions? Call Justin at 714.602.1217 or email your resume to [Click Here to Email Your Resumé]

Why Kelly®?
With Kelly, you’ll have access to some of the world’s highest-regarded scientific organizations—
providing you with opportunities to work on today’s most challenging, research-intensive, and relevant
projects. Our connections can lead you to innovative scientific pursuits you’ll be proud to help
advance. We work with 95 of the Fortune 100™ companies, and found opportunities for more than 9,000
scientific professionals last year.
You pursued a career in science to fuel your quest for knowledge and your desire to make the world
a better place. Let Kelly fuel your career—connect with us today.
About
Kelly Services®
As a workforce advocate for over 70 years, we are proud to directly employ nearly 500,000 people around the world and have a role in connecting thousands more with work through our global network of talent suppliers and partners. Revenue in 2017 was $5.4 billion. Visit kellyservices.com and connect
with us on Facebook, LinkedIn and Twitter.
Kelly Services is an equal opportunity employer including, but not limited to, Minorities, Females,
Individuals with Disabilities, Protected Veterans, Sexual Orientation, Gender Identity and is
committed to employing a diverse workforce. Equal Employment Opportunity
is The Law.
",Full-Time,5-8 years,Other Great Industries,"Torrance, CA 90501",NA,Machine Vision Research Scientist,NA
2,Science,ManTech International Corporation,NA,"
Group: 
MSSClearance Level Needed: 
SecretShift: 
DayCategory: 
Scientific / Analytical
ManTech International Corporation provides innovative engineering and systems integration services that help our customers solve their toughest, most intractable problems. National defense and homeland security clients depend on our rapid, cost-effective development of adaptable, interoperable, integrated solutions that provide high performance in quick-response scenarios. We are seeking an experienced Artificial Intelligence Scientist/Theorist to support our growing programs in Stafford, VA. This is an opportunity to support a HI-VIS US Marine Corps Program.This position requires a current DoD Security Clearance.Overview:ManTech is seeking a well versed Artificial Intelligence Scientist. This is an opportunity to work with some of the brightest minds and work on the most complex challenges at a global scale to transform the National Security environment. You will be a part of a dynamic team building algorithms and exploring algorithmic warfare. As an essential member of this team you must be able to present, translate and discuss all states of AI.Duties:• Provide leadership and mentorship to Capability Development team in all aspects of AI.• Apply extensive domain expertise and systems theory acumen to develop multiple insights and approaches for complex problems that require the regular use of ingenuity and creativity and deep understanding of existing methods to development of solutions.• Conduct original research and recommend the appropriate systems, tools and methodologies to meet Marine Corps requirements, enable evidence based decision making by providing timely, actionable, and forward-looking insights to leadership and decision makers• Use technical and analytical expertise to explore and examine data from multiple disparate enterprise and open source big data with the goal of discovering patterns and previously hidden insights that can provide a competitive advantage or address a pressing mission problem• Analyze and implement analysis infrastructure and tools, analytic workflow processes, and complex data visualizations and leverage foundational comprehension of mathematical and statistical concepts, algorithm development, feature engineering, model selection, training testing and validation of different models, pipeline generation, and domain expertise to bridge the gap between decision makers and technical experts, ensuring data or modeling solutions meet business requirements• As new AI technologies are available in the market place, the SME must be able to determine its applicability to use cases where it can enhance capabilities.• Shape abstract, ambiguous goals into tangible, and scientifically-backed experiences.• Provide Technology Solution Development and Integration across the SDLC including requirements, functional specs, design, custom development, integration, testing, and deployment• Communicate effectively and present models to decision makers and senior leadership• Champions innovation, and thinking differently and creative approaches• Perform project tasks independently, and may direct the efforts of others • Anticipate needs and formulate solutions to accomplish objectives• Review deliverables for accuracy and qualityExperience Requirements:• A minimum of a secret security clearance with ability to be cleared for a TS/SCI clearance.• Deep aptitude and understanding of technical architectures and current state of the market in several technology areas. • Proficient at quickly reading and understanding scientific papers in new domains, and apply previous research to create new designs, while remaining abreast of current design trends, scientific advances, and software development practices.• Proven experience in managing the complexity inherent with technology change, from requirements planning to architecture, testing to deployment, and sustainment.• Proven experience integrating a variety of AI software solutions with leading edge technologies and other hardware• Proven experience in delivering impactful large-scale custom development and/or systems integration solutions and lasting change Certification/Education Requirement:• Post graduate degree in computer science, information systems, Computer Engineering, Statistics, Economics, Mathematics, Physics or other technology-related field• Experience translating requirements into design specifications and experience in developing design documents • Certification on cognitive tools like Microsoft Bot Framework & Cognitive Services, IBM Watson, Amazon Alexa etc.• Demonstrated ability in the application of Machine Learning/AI in real-world industrial settings with large scale data• Experienced in distributed processing, database modeling, database development, data pipelines, API design, optimization, modelling, big data, model implementation, data visualization, messaging systems• Experience using Deep Learning frameworks such as TensorFlow, Caffe, Caffe2, PyTorch, or MxNet• Experience using Apache Kafka, Apache Spark, Scala, Apache Flink, Apache Airflow, Apache Storm, Python, NumPy, Pandas, Mesos, Cassandra, HBase, ZooKeeper, Map-Reduce, Hadoop HDFS, Hadoop YARNKW: Narrow, AI, Artificial, intelligence, GAI, general, superartificial

Requires Bachelor's degree in Business, Engineering, Management Sciences, Computer Science, Information Systems, Social Science, Education, Human Resources Development, and Psychology or other related disciplines and ten to twelve years of experience or Master's degree and eight to ten years of related experience or PhD and five to seven years of related experience.
",Full-Time,NA,Other Great Industries,"Quantico, VA 22134",NA,Artificial Intelligence Scientist/Theorist,NA
3,Engineering,E-ASPIREIT LLC,Degree - Graduate Degree,"


Job Title:  Data scientist 
Duration: full time 
Location:   Westlake Village,CA 





JOB DESCRIPTION

·  8-10 years of work experience in data science
·  Experience with ML and AI  - Tensorflow, CNTK, Caffe etc
·  Experience with automating ML, AI – containerization, SparkML, H20, Anaconda etc
·  Experience with internet based companies is a good to have – exposure to use cases like recommendation engine, ad segmentation, visitor forecasting etc


Job Title:  Data scientist
Duration: full time
Location:   Westlake Village,CA 





JOB DESCRIPTION

·  8-10 years of work experience in data science
·  Experience with ML and AI  - Tensorflow, CNTK, Caffe etc
·  Experience with automating ML, AI – containerization, SparkML, H20, Anaconda etc
·  Experience with internet based companies is a good to have – exposure to use cases like recommendation engine, ad segmentation, visitor forecasting etc
 
",Contract to Hire,Experience - At least 5 year(s),Computer Software,"Westlake Village, CA",NA,Data scientist,NA
4,"Engineering, Information Technology, Science",Huxley Associates,Degree - 4 Year Degree,"
Lead Data Scientist - NLP, Financial Technology FirmMy client, a publically listed international financial technology firm is looking to hire a Lead Data Scientist to be based in their Chicago office. The Lead Data Scientist will work across different teams including data engineering to architect and build solutions that transform the insights that power decision making capabilities for their clients around the world.This company are building sophisticated artificial intelligence and machine learning solutions for its clients using Natural Language Processing and thus a candidate with an advanced knowledge of the NLP space is integral for success in the role.What You Will Need
Advanced knowledge of Natural Language Processing of unstructured text documents.
Experience of unstructured feature extraction using machine learning techniques such as deep learning, multi-layer neural networks are ESSENTIAL.

Advanced knowledge of Python.
Experience of Tensorflow, Pytorch or other similar products.
What's in it for you?
You will have the opportunity the lead the design and architecture of cutting edge machine learning technology.
You will have the opportunity to work with some of the brightest technologically innovative minds that the industry has to offer.
Opportunity to join an expanding office with a contagious working environment and culture for fun and innovation.
Location: ChicagoCompensation: $160-180k base salary + benefits and competitive bonusPlease contact Lee Abrahams at Huxley for further informationSthree US is acting as an Employment Agency in relation to this vacancy.

-Advanced knowledge of Natural Language Processing of unstructured text documents.•Experience of unstructured feature extraction using machine learning techniques such as deep learning, multi-layer neural networks are ESSENTIAL.•Advanced knowledge of Python.•Experience of Tensorflow, Pytorch or other similar products.
",Full-Time,NA,"Computer Hardware, Computer Software, Telecommunications","Chicago, IL","$160,000.00 - $180,000.00 /Year","Lead Data Scientist - NLP, Financial Technology Firm",NA
5,Information Technology,TPA Technologies,Degree - Doctorate,"
SENIOR DATA SCIENTIST
 
PROJECT DETAILS
LOCATION: Boston, MA
START DATE: ASAP
LOA: 6 month contract-to-full time
 
PROJECT DESCRIPTION
TPA Technologies is seeking a Senior Data Scientist.  Our SaaS Software client has an immediate need for a talented Senior Data Scientist to design, implement, and maintain frameworks for ranking, classification, and recommendation. He or she would research bleeding edge techniques and tools in ML/Deep Learning/AI.  This individual will be the lead Data Scientist for the organization.

This is a client facing role, and the ideal candidate will have experience leading off-shore development teams (Eastern Europe and India).

Applicants must be eligible to convert to full time, and our client is not able to provide sponsorship.

ABOUT TPA TECHNOLOGIES
TPA technologies, formerly known as The Professional Alternative, is a solutions partner serving the Information Technology needs of Corporate America and Government Business partners. We utilize methodologies developed over 10 years to provide ""Best Fit"" solutions. A proven leader in identifying technical professionals best suited to have an immediate and positive impact on the needs of our clients' requirements. Business partners are provided with the ability to obtain desired results and the flexibility required to ensure cost effective solutions.

REQUIREMENTS AND QUALIFICATIONS
§  1+ year of experience developing machine learning models such as using deep learning methods for classification and regression
§  Experience with Python, R, Scala, Java, C/C++ or other related languages
§  Comfort with SQL and NoSQL DB, MapReduce, Apache Spark, Kafka and other large scale data processing tools for performing various tasks related to machine learning and data science activities including data cleanup, data transformation, data mashing and algorithm parallelization
§  Experience with: Caffe, Torch, TensorFlow, Theano, Matlab or a similar deep learning toolkit
§  A strong “GSD” or “Agile” mindset – focus on shipping products, not perfection
§  Required education: Advanced Degree(PhD) in Computer Science, Data Science or Mathematics Experience with one or more of the following: Classification, Computer Vision, Statistical Modeling, Ranking and Relevancy Systems, Recommendation Systems, etc.
§  Machine Learning: 1 year,
§  Python: 2 years
§  AWS: 1 year
§  Linux: Various flavors
",Contract to Hire,1+ year,Computer Software,"Boston, MA",NA,Senior Data Scientist,Travel - Up to 25%
6,Science,Nesco Resource,NA,"
 Job Description   The Ideal Candidate  As a Data Scientist you will work closely with Scientists and Engineers to translate business challenges into clear problem statements. You will then leverage machine learning and related methods to solve those problems. Working with the business you will implement the solutions.    Qualifications: We are seeking leaders who have completed or will soon complete a PhD in Computer Science, Computer Engineering or a closely related field.  You will also have:    Demonstrated abilities to manage multiple priorities well  Strong written and verbal communications skills  Extensive experience with wide range of advanced machine learning methods  In depth understanding of Deep Learning and experience with imaging applications  Very good understanding of explainable AI  Proficient with Python including Pandas, NumPy and Scikit-learn    All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, protected veteran status, disability status, age, sexual orientation, gender identity and expression, marital status, citizenship, HIV/AIDS status or any other legally protected factor.  Qualified individuals will not be disadvantaged based on being unemployed.  Job Type: Standard More information about the job Is Relocation Available? Yes, nationwide Is there a bonus structure? No Are you open to sponsorship? Yes This position is: New Position Is there a possibility to work remote? No Is there equity? No Are there flexible work hours? Yes Does this position have direct reports? No Who does this position report to? Section Head of Data Science and Artificial Intelligence  What are the 3-4 non-negotiable requirements on this position?    Fluency with current data science methods and related tools e.g. SQL, Python or R, Jupyter Notebooks and GitHub  Experience with deep learning methods and tools including RNNs, CNNs, TensorFlow  Experience with data visualization best practices and tools such as Tableau  Strong interpersonal communication skills     What are the nice-to-have skills?    Image handling and querying expertise with imaging pipeline related skills e.g. experience with OpenCV, FFMPEG; experience with Docker and micro-services  Database proficiency (relational, NoSQL, MongoDB)  Experience with Big Data technologies including Cloud Technologies (Amazon AWS, Azure, Google) and Database technology (Hadoop, MS SQL Server)  Familiarity with statistical methods and tools such as R, JMP     What is exciting about this opportunity? Please use this section to describe team and company culture. Thriving in a culture of innovation, you will collaborate closely with other experts leveraging cutting edge tools to develop irresistibly superior products. 
",Full-Time,NA,Other Great Industries,"Cincinnati, OH",NA,Data Scientist-R&D,NA
7,Information Technology,UnitedHealth Group,NA,"

The Senior NLP Scientist / Engineer is a key technical contributor in the design and development of state-of-the-art NLP for medical applications.  The Senior NLP Scientist\Engineer works closely with other NLP specialists, software engineers and subject matter experts on current company technologies, and serves in a technical lead capacity on forward looking projects.  

The successful candidate will have a strong background in Natural Language Processing, Artificial Intelligence with an emphasis on text, Information Extraction / Retrieval, and/or associated principles of knowledge representation and ontological design. The successful candidate will be a forward-thinker comfortable with research and design, but also demonstrate a willingness to support team members with existing systems in customer production environments. Technical aptitude is required, as the successful candidate will be a core contributor on teams responsible for taking ideas from vision through design to implementation.

While the Senior NLP Scientist / Engineer role spans responsibilities in both research and development, position emphasis may be tailored to the skill sets of the successful candidate.

Primary Responsibilities:

Identification, research and development of new technologies to enhance existing company NLP solutions and extend those solutions to new applications and markets 

Analysis and refactoring of existing system architectures, with focus on functionality and performance


Required Qualifications:

Advanced degree in Computational Linguistics, Computer Science, or other Computational discipline 

4+ years of related professional work experience for applicants holding an MS - OR - 2+ years related professional work experience for applicants holding a PhD (significant academic NLP experience will be considered for strong applicants) 

Knowledge of the algorithms and techniques of a computational domain with emphasis on text processing, performance and scalability 

Demonstrated technical aptitude 

Strength and experience with at least one of the following 
C++ 

Java 

C# 

Python



Preferred Qualifications:

Experience with data science or machine learning 

Experience with Drools 

Experience with SQL 

Understanding of morphology, syntax, semantics, discourse and/or pragmatics 

Experience applying NLP in a medical domain 

Language skills in Portuguese or Spanish 

Careers with Optum. Here's the idea. We built an entire organization around one giant objective; make health care work better for everyone. So when it comes to how we use the world's large accumulation of health-related information, or guide health and lifestyle choices or manage pharmacy benefits for millions, our first goal is to leap beyond the status quo and uncover new ways to serve. Optum, part of the UnitedHealth Group family of businesses, brings together some of the greatest minds and most advanced ideas on where health care has to go in order to reach its fullest potential. For you, that means working on high performance teams against sophisticated challenges that matter. Optum, incredible ideas in one incredible company and a singular opportunity to do your life's best work.(sm)


Diversity creates a healthier atmosphere: UnitedHealth Group is an Equal Employment Opportunity/Affirmative Action employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, age, national origin, protected veteran status, disability status, sexual orientation, gender identity or expression, marital status, genetic information, or any other characteristic protected by law.

UnitedHealth Group is a drug-free workplace. Candidates are required to pass a drug test before beginning employment.


Job Keywords: Computational Linguistics, Computer Science, C++, Java, C#, Python, San Diego, CA

",Full-Time,4+ years,Healthcare - Health Services,"San Diego, CA",NA,"NLP Scientist or Engineer - San Diego, CA",NA
8,Marketing,Nesco Resource,NA,"
 Job Description  As a IT Marketing Data Scientist (F/M) you will:  ""Get into the details , using machine learning algorithms, data visualization best practices, and analytic engines to release business building insights and build proprietary algorithms on our data, and combining with business and marketing knowledge:  "" Design and implement analytical frameworks in the context of overall performance marketing objectives such as media effectiveness, RnF / conversion rate optimization, consumer engagement, content optimization, and personalization.  "" Deliver high performance data science, including data sources identification, processing, model/algorithm development, and turning insights into actionable recommendation and systems.  "" Adept at demonstrating analytic technologies solving ad hoc business problems, innovating on potential future solutions, and working with technology partners to translate your innovations into robust, scaled, analytic solutions.  "" Work actively and effectively with other functions partners and senior management to accomplish project objectives.  "" Participate in and lead analytic capability building program at various levels of skill and seniority  Qualifications - to qualify for this role you possess the following:  "" 5+ years' experience in online and offline media and CRM  "" 5+ years' of shown leadership in applying and scaling Analytic techniques to deliver actionable insights from data.  "" Master Degree+ in a quantitative field (Operation Research, Computer Science, Engineering, Applied Math, Statistics, Analytics, etc.)  "" Experience in disrupting current business practices in Client or related industries to help crafting a new go-to-market models.  "" Domain familiarity with media (online/offline/paid/owned/earned)  "" Good interpersonal skills, self-motivated, dynamic and can-do attitude  "" Excellence in English (written and oral)  ...and it would be good having as well knowledge of:  "" Business Intelligence Tools such as KNIME, Tableau, Spotfire  "" deep learning and tensorflow  "" Business start-up/Direct-To-Consumer experience  "" Practical experience with Linear TV planning, Programmatic buying, & CRM orchestration  "" Artificial Intelligence / Big Data Ecosystem: Hadoop, Spark, MapReduce, SQL, Hive  "" Scientific Computing: R, Python, C++, Java, Scala  "" Advanced Analytical models (Bayesian, Optimization (global, local, stochastic methods), Uncertainty Quantification, etc.)  We offer:  "" Meaningful position in a Dynamic, Diverse, Multi-cultural and Flexible working environment  "" 'Vibrant Living' offering on-site: Gym / Yoga / Sports-teams, Hair-Salon, Canteen, Agile workspace design, Flex-work arrangements possible  P&G is one of the world's leading consumer goods company improving lives of millions of people with brands like Pampers, Gillette, Pantene, Ariel, Lenor etc. IT (Information Technology) in P&G is where business, innovation and technology comes together to help improving consumers life.    Qualifications:      Demonstrated leadership in applying techniques to deliver actionable insights from data      Strong written and verbal communication skills to influence others to take action      Candidates must have at least a Bachelor's degree       Strong analysis skill; and a degree in Statistics, Operations Research, or similar field with emphasis on quantitative methods is preferred      Demonstrated ability to handle multiple priorities      Related full-time or internship experience with syndicated point of sale, ( ""scanner "") household panel data, or Operations Research modeling is helpful but not required       
    
",Full-Time,5+ years,Other Great Industries,"Cincinnati, OH",NA,Marketing Data Scientist,NA
9,Information Technology,"Pinnacle Partners, Inc",Degree - Graduate Degree,"
Data Scientist
Up to $130K


Pinnacle Partners is assisting their client in their search for a Data Scientist.  The successful resource can be someone who has many years’ experience with Data Science or a person who has their Masters and 1-2 years’ experience. The resource will join the machine learning team which has formed into an official unit, Advanced Data Science, which is responsible for all machine learning and artificial intelligence throughout the organization. Projects are being worked within every business unit and industry vertical. The company offers strong benefits and PTO and the resource can join the team in Indianapolis or Chicago.
 

Responsibilities 



Capable of levering large sets of structured and unstructured data to develop tactical and strategic insights.


Collaborate with analytic and data teams to set objectives, approaches, and work plans.


Research and evaluate new analytical methodologies, approaches, and solutions.


Develop and validate statistical forecasting models and tools.


Interpret and communicate analytic results to analytical and non-analytical business partners and executive decision makers.



 

 


Required Skills 



Advanced degree (Masters at a minimum) in a quantitative field in one or more of the following: Statistics (preferred), Computer Science, or Data Science


4+ years’ experience in advanced analytics and machine learning model development and validation.


2+ years’ experience working in industry, leading analytic-based projects, and delivering results within scope, funding, and duration. 


2+ years’ experience leading projects and interacting with non-technical users to explain modeling results and meaning.


Modeling Experience:  Forecasting (ARIMA, ARCH, GARCH), Anomaly Detection, Dimension Reduction, Clustering Techniques, Hypothesis Testing


Should have excellent communication skills.


Expert level programming skills in R.


Experience with a statistical package and various programming languages such as R, Python, Java, C++, SAS, Matlab, etc.


Business Intelligence experience (Microsoft Power BI / Tableau)


Experience writing SQL queries and linking to enable read/write to the database.


The capacity for a high degree of autonomy and out-of-the-box thinking


Terms

This is a direct hire role with a salary up to $130K.

",Full-Time,Experience - At least 2 year(s),Other Great Industries,"Indianapolis, IN","$0.00 - $130,000.00 /Year",Data Scientist,NA
