,category,company,degree,details,employment_type,experience,industry,location,salary,title,travel
0,Information Technology,Procom,NA,"
Senior Business Analyst (DA/DW) – on behalf of our client, Procom Services is looking for a Senior Business Analyst to join their team for a seven (7) month contract in Tampa, FL.Senior Business Analyst (DA/DW) Job Details
Our client is seeking a senior level Business Analyst who will be part of global information, Warehouse and analytics teams. This role will work closely with both the business and technology teams for the implementation of innovative analytical solutions.
Perform data analysis and data mappings across various systems. Create data models.
Design visually appealing dashboards with a focus on mobile integration
Liaise with Business users to understand their requirements and document in the form of Business Requirements Documents. Conduct Joint Analysis and Design (JAD) sessions with technology for various enhancements to be implemented in the warehouse.
Create presentations to describe ideas and conceptual design to business stakeholders and senior managers
Provide analytical support by writing complex SQL queries.
Perform data quality checks on various data elements available in the warehouse.
Coordinate and Participate in User Acceptance testing for enhancements done to the warehouse.
Provide user support making sure appropriate Support tickets are created. Participate in weekly production support related calls to review support tickets. Provide timely user communications for any system related issues.
Senior Business Analyst (DA/DW) Mandatory Skills
Data analysis, data modeling, data mapping experience
Reporting and typical technical BA skills
The candidate must have strong data analysis / data mapping / data conversion experience
Strong knowledge about Data Warehousing concepts and principle and ETL process
Candidate must possess strong SQL writing skills in Oracle or equivalent relational database platform
Strong hands on experience with Microsoft Office tools (Word, Excel, Powerpoint etc.)
Experience working with Big Data technology is a plus
Knowledge of Oracle eBusiness Suite applications and different modules (AP, PO, Requisition, EGL) including table structures and data flows is a plus
Reporting tools (MicroStrategy) experience (a plus)
May 7th, 2018 or ASAPSenior Business Analyst (DA/DW) Assignment Length7 month contract *extensions possiblePlease note that we are not able to work with candidates on H1B Visas or candidates represented by third parties.
",Contractor,NA,Other Great Industries,"Tampa, FL",NA,Senior Business Analyst (DA/DW),NA
1,"Banking, Professional Services, Information Technology",Hobbs Madison,NA,"
Business Analyst - Teller Solutions

Hobbs Madison is growing!  We have immediate opportunities for senior Business Analysts with experience implementing branch banking applications - specifically branch retail teller solutions.  The goal of this initiative is to enhance the customer experience by improving the efficiency & effectiveness at the retail level.  The business analyst will use their knowledge & understanding of front-end, web-based, retail & branch banking applications & systems (customer origination, deposit services, consumer loan origination, new account opening, etc.) at the onset of the project & throughout to gather & prioritize requirements, write user stories & develop the most effective use cases & test cases. 

Performance Objectives for the Business Analyst will include:

Work closely with users & stakeholders at the branch level to gather requirements, develop user stories / storyboards, use cases & test cases with a focus on improving the customer experience
Prioritize requirements as necessary
Improve process workflows
Maintain strong partnerships with IT & business units



Extensive experience working as a business analyst with a focus on retail, branch banking & teller solutions
Hands-on business analysis experience in the implementation of a branch banking platform (TouchPoint, Argo, S1, Harland, D&H or similar)
Applicable knowledge & understanding of front-end, web-based, retail & branch banking applications & systems (customer origination, deposit services, loan origination, new account opening or similar)
Excellent communication & presentation skills - written & verbal.  Able to appropriately interact with users & personnel in all phases
This position will require some travel as necessary.

",Full-Time,Experience - At least 6 year(s),"Banking - Financial Services, Consulting, Computer Software","Chicago, IL",$65.00 - $85.00 /Hour,Business Analyst,Travel - Up to 50%
2,Consultant,"American Cybersystems, Inc. (ACS Group)",Degree - None,"

Only US Citizen / Green Card / GC-EAD / H4-EAD / L2-EAD / TN Visa Holders



Job Title:  Business Analyst

Location: Richfield, Minnesota
Duration: 6+ Months (Potential to extend)
 
Job Description:

5+ years’ experience as a business analyst in the retail industry  A functional understanding of the retail domain, preferably services (installation of appliances etc.)  
Interfacing with members of your scrum team, Digital, and line of business product teams, business analysts from other teams to deliver effective API/micro-services for internal and external consumption  
Strong experience with Agile development methodologies 
Strong SQL skills to analyze existing data and identify gaps/data quality issues 
Experience writing technical stories in JIRA/confluence using industry standard notations (like Gherkin) 
Experience running web services using tools like Soap UI, XML Spy, CA-LISA (Nice to have but not required).

Experience working in large, complex data environments 
Experience working on large and medium scale software projects is preferred
Experience working with diversified multi-location teams is preferred 
Prior experience working in a shared services/enterprise level organization preferred



Only US Citizen / Green Card / GC-EAD / H4-EAD / L2-EAD / TN Visa Holders



Job Title:  Business Analyst
Location: Richfield, Minnesota
Duration: 6+ Months (Potential to extend)
 
Job Description:

5+ years’ experience as a business analyst in the retail industry  A functional understanding of the retail domain, preferably services (installation of appliances etc.)  
Interfacing with members of your scrum team, Digital, and line of business product teams, business analysts from other teams to deliver effective API/micro-services for internal and external consumption  
Strong experience with Agile development methodologies 
Strong SQL skills to analyze existing data and identify gaps/data quality issues 
Experience writing technical stories in JIRA/confluence using industry standard notations (like Gherkin) 
Experience running web services using tools like Soap UI, XML Spy, CA-LISA (Nice to have but not required).
Experience working in large, complex data environments 
Experience working on large and medium scale software projects is preferred
Experience working with diversified multi-location teams is preferred 
Prior experience working in a shared services/enterprise level organization preferred





",Contractor,Experience - 3 to greater than 15 years,Computer Software,"Richfield, MN 55423Minneapolis, MN 55423",NA,"Urgent Job Opening :: Business Analyst :: Richfield, MN",Travel - None
3,Information Technology,NA,Degree - None,"
SAP FICO Business Analyst Norcross, GA 6 Month Contract$60-70/HourOur industry leading client is currently seeking an experienced SAP FICO Business Analyst to gather requirements for a SAP FICO implementation. In this role you will be gathering requirements and serving as a liaison between business and technical teams for a SAP FICO implementation project.You will support the functional configuration of SAP FICO as well as provide knowledge of solution design. In addition, you will perform UAT testing and document business processes for the project.
For immediate consideration please send your resume to: [Click Here to Email Your Resumé]Keywords: Business Analyst, SAP, FICO, liaison, requirements, UAT, testing, 

Skills:

Experience as a business analyst gathering requirements
Experience serving as a liaison between business and technical teams
Experience supporting SAP FICO initiatives
Experience performing solution design and functional configuration

",Full-Time,Experience - Greater than 15 years,Agriculture,"Norcross, GA","$60,000.00 - $70,000.00 /Year",SAP FICO Business Analyst,Travel - None
4,Information Technology,Genesis10,NA,"
Genesis10 is currently seeking a Business Analyst I with our client in the SEO industry in their New York, NY location. This is a 6 month + contract position.Description: Seeking a Business Analyst I
Responsibilities: Support a mix of strategic and operational projects such as developing automated data analysis, creating dashboards, deriving insights from complex data, service metrics tracking and analysis Own regular cadence of reporting and analysis of our organization's operational performance recruiting programs  Work with team leads to identify key metrics we can use to track the health of our recruiting operations Set benchmarks and ensure we have the necessary dashboards to track progress and are reviewing progress regularly Automate day-to-day tasks across our team using Apps Script Top 3 Daily Responsibilities:  Analyze key operational metrics and provide inputs for annual business planning Perform ad-hoc analyses to answer various specific business questions and provide actionable insights to inform operational decisions Create and maintain dashboards to provide insights and visibility into key strategic and operational performance of the organization  Design and execute automation for tasks that improve the quality, speed and cost-effectiveness of our 
Requirements: BA/BS degree (preferably in Computer Science, Engineering, Mathematics, Statistics or related fields) or equivalent practical experience 2-3+ years of working experience  Deep analytical and data-driven problem solving skills, including dashboard development SQL, database and spreadsheet expert: Ability to extract, analyze and manipulate data in a variety of applications and formats Experience defining meaningful metrics for an operations or support team  An ability to conceive, implement and present dashboards and reports in a variety of formats to key stakeholders in order to monitor team health, operational bandwidth, and other useful metrics Experience managing cross-functional technical projects for the complete life cycle, with competing resources and priorities Strong oral and written communication skills with the ability to communicate across multiple types of audiences  Proficient with Google Sheets, Google Docs & Google Slides Experience working in Google Apps Script or other programming such as JavaScript  Ability to identify data, reporting and automation needs and either write queries or scripts or partner with other teams to make those ideas a reality Desired Skills: 	 Technical aptitude and highly analytical: a strong willingness to dive in and learn on the go  Can use statistical concepts (inference, hypothesis testing) to inform decision making  Ability to think 'out of the box' and bring creative, nonstandard, and innovative solutions to the table A strong sense of focus and excellent attention to detail  Ability to quickly complete a large volume of high-quality work in a very fast-paced environment Strong leadership skills  Ability to establish effective relationships, influence, drive consensus and collaborate internally and externally at all organizational levels Proven ability to multitask, analyze opportunities, define successful approaches, and proactively solve problems Thorough knowledge of user-centered design, user research methods, iterative development processes, and usability principles Experience creating and maintaining program schedules using project management systems   Able to work as a W2 employee of Genesis10 (no Corp-to-Corp)
If you have the described qualifications and are interested in this exciting opportunity, please apply!About Genesis10:Genesis10 is a leading U.S. business and technology consulting firm with hundreds of clients needing proven talent and solutions to power their strategic initiatives.  If you are a high performing business or IT professional with solid, referenced experience, we want to meet you.  Genesis10 recruiters and delivery professionals are highly accomplished career advocates, who get to know you beyond your resume to position you with the opportunities that fit your skills, experience and aspirations.  We have benefit options to fit your needs and a support staff that works with you from placement throughout your engagement – project after project.   To learn more about Genesis10 and to view all our available career opportunities, please visit us at www.genesis10.com.  ""Genesis10 is an Equal Opportunity Employer, M/F/D/V”
",Contractor,2-3+ years,Internet - ECommerce,"New York, NY",$50.69 - $72.41 /Hour,Business Analyst I,NA
5,Information Technology,"Stonehenge Resources, LLC",NA,"

Our direct client has a immediate contract opening for a Salesforce Administartor.
 Reporting to a Director of Business Application Services in IT, this Salesforce Administrator/Business Analyst will work with the product owner/SMEs and IT resources to ensure accurate representation of Business Requirements and timely and effective delivery of the Salesforce solution to fill those requirements.   Responsibilities:  • Administration and support of Salesforce.com including configuration updates to security, sharing rules, profiles, roles, custom objects, fields, record types, updating page layouts and validation rules, reports, dashboards, etc• Stay current on new Salesforce features and functionality and provide recommendations for process improvements • Support the governance model by working closely with all system partners to ensure minimal impact to organizations within the shared Salesforce instance 
 Qualifications: • 3+ years’ experience as a Salesforce Administrator • 3+ years’ experience as a Business Analyst • 2+ years’ experience with Marketing, Sales, and Sales operations and process monitoring  • 3+ years’ experience implementing enterprise class systems and 2+ years of experience working with the Salesforce.com product  • Experience with Zuora billing system and integration with SFDC is highly desired • Experience in designing and configuring software components and having a very strong service oriented architecture and integration background • Functional knowledge of Salesforce.com data structure and understanding of how to leverage the tool to meet complex process and reporting requirements • One or more Salesforce.com (SFDC) Certifications, Advanced Certifications a PLUS– including (Advanced) Administrator, (Advanced) Developer, Sales Cloud, Service Cloud  Education:  • BS, BA and/or Masters in Business Operations, Computer Science, Information Services or related discipline and 3 – 5+ years of relevant experience.

See above
",Contractor,3+ years,Telecommunications,"Atlanta, GA",NA,Salesforce Administrator/ Business Analyst,NA
6,Information Technology,MDI Group,Degree - 4 Year Degree,"
The Senior IT Business Analyst will demonstrate strong experience in implementing business analysis process, techniques and methodologies.  Contribute to application design by defining needs and recommending technical solutions that will maximize the value delivered by the system to stakeholders. Determine how the project they are assigned to impacts other projects, systems or business areas.  Ensure project meets the strategic goals/initiatives of the organization.  Influences, persuades, and leads other team members and stakeholders to achieve project goals and objectives.  Additional duties include:

Facilitates and lead interviews and cross-functional working sessions with the business process owner, functional business analyst and development team to elicit and clearly define requirements.
Converts business requirements into user stories and acceptance criteria
Captures non-functional and other system requirements (e.g., supported browsers, security, system performance expectations, etc.).
Produces deliverables as needed: (e.g., work breakdown structure, product backlog of detailed user stories acceptance criteria, data dictionary, business rules, wireframes, workflow diagrams, process diagrams and system interaction diagrams, etc.).
Provides significant input to system specifications and design.
Develops detailed knowledge/expertise in applications assigned.  Analyzes system integration impacts and define integration requirements.
Collaborates with developers to establish the technical vision and analyze tradeoffs between usability and performance needs.
Attends demos and review completed sprint development for accuracy.
Reviews detailed requirements with project manager/technical lead to ensure adherence to scope and level of effort estimations.
Estimates requirements gathering level of effort, develops business analysis work plans, and ensures BA deliverables quality and timeliness.
Coordinates with Quality Assurance (QA) and the development team to ensure requirements are understood.
Participates in and/or coordinates required testing/validation of system fixes, which may include creating the actual test cases or reviewing test cases created by QA.
Supports User Acceptance Testing.
Serves as the key IT counterpart to the Functional Area (Business Process) Owner and Functional Business Analyst.  Is jointly responsible for understanding, prioritizing, & defining continuous improvement requests.
Performs problem determination and resolution as part of system production support.
Acts as the business analyst team lead on larger projects and initiatives.
Provides guidance and mentoring to less experienced team members.
Ensures issues are identified, tracked, reported on and resolved in a timely manner; escalate and retain ownership of all open/unresolved issues.
Performs other duties as assigned.


REQUIREMENTS
 

Minimum five (5) + years working as a business or technical analyst on application development projects
Experience with waterfall and agile software development methodologies.
Experience with more than one (1) business domain.
Experience with SQL queries
Experience supporting large/complex software development projects including both enhancement/support projects as well as new development (greenfield) projects
Minimum one + years of functional expertise/experience.
Must have strong PC skills and advanced working knowledge with Microsoft Office products, SharePoint and experience with requirements tracking software

 
EDUCATION
 
Bachelor's Degree
",Full-Time,Experience - 5 to greater than 15 years,Consulting,"Dallas, TX",NA,Senior IT Business Analyst,Travel - None
7,"Engineering, Information Technology, Design",Robert Half Technology,NA,"
Ref ID: 04380-0010363585Classification: Business AnalystCompensation: $50.00 to $60.00 per hourIT Business Analyst Are you experienced in business and possess a can-do attitude? Robert Half Technology is seeking an experienced Business Analyst to develop well-executed plans for a growing company. Should you choose to apply, you ought to possess a strong technical skill set and be comfortable with the interpersonal aspects of the position. The long term temporary-to-fulltime Business Analyst will work in the Dallas, Texas area. Your responsibilities in this role - Develop detailed user stories and profiles - Produce creative and accessible solutions for new product requirements - Assess and review business, technical, and functional requirements - Aid in creating customer-focused documentation for software solutions - Partner with development team to invent and assess product requirements to meet business goals - Partner with development and QA teams to evaluate and enact new corrections and improvements - Work with designers on wire-frames, interactions, and user flows If interested please email your resume to [Click Here to Email Your Resumé]

Business Analyst - Prior experience with usability and application performance considerations - Solid grasp of developing requirements and product specifications for new or existing applications - 5+ years of related experience - Prior work with API design - Java experience If interested please email your resume to [Click Here to Email Your Resumé]Technology doesn't change the world. People do.As a technology staffing firm, we can't think of a more fitting mantra. We're extreme believers in technology and the incredible things it can do. But we know that behind every smart piece of software, every powerful processor, and every brilliant line of code is an even more brilliant person. Leader among IT staffing agenciesThe intersection of technology and people  it's where we live. Backed by more than 65 years of experience, Robert Half Technology is a leader among IT staffing agencies. Whether you're looking to hire experienced technology talent or find the best technology jobs, we are your IT expert to call. We understand not only the art of matching people, but also the science of technology. We use a proprietary matching tool that helps our staffing professionals connect just the right person to just the right job. And our network of industry connections and strategic partners remains unmatched.Apply for this job now or contact our branch office at 888.674.2094 to learn more about this position.All applicants applying for U.S. job openings must be authorized to work in the United States. All applicants applying for Canadian job openings must be authorized to work in Canada.© 2018 Robert Half Technology. An Equal Opportunity Employer M/F/Disability/Veterans.By clicking 'Apply Now' you are agreeing to Robert Half Terms of Use.
",Contractor, - 5+ years,"Computer Hardware, Computer Software","Dallas, TX 75219",$50.00 - $60.00 /Hour,Business Analyst,NA
8,Information Technology,NA,NA,"
 
 
Title: Sr Business Analyst (Oracle E-Business Suite exp)
Location: Irving, TX
Duration: Long term contract
 
JOB SUMMARY:

Responsible for hands on service delivery, support and operations of Oracle E-Business Suite and related application. In collaboration with internal departments and external resources, plans, designs and implements projects. Ensures the effective operation of Oracle E-Business Suite.

ESSENTIAL JOB DUTIES:

Serve as liaison to the business team and perform tasks required to implement, support, configure and enhance Oracle EBS and related products.
Knowledge on Oracle modules (GL, FA, AP, AR, Purchasing, Sub-Ledger Accounting and Workflow).
Under general supervision, formulate and define system scope and objectives through research as well as utilize your understanding of the applicable business systems and industry requirements.
Collaborate with internal departments and external resources to translate business needs to technical requirements and designs, ensuring solutions meet customer requirements.
Conduct business process analyses, needs assessments to align information technology solutions with business initiatives.
Translate high-level business requirements to functional specifications for IT and manage changes to those specifications.
Analyze and evaluate existing and/or proposed systems.
Create detailed business requirements and other documents in support of projects.

EDUCATION AND/OR EXPERIENCE:

Bachelor Degree/MBA in Information Systems, Finance/Accounting or equivalent experience.
Minimum of 2 years of experience in Oracle Financials in various versions including  
Experience in providing functional support to business users.
Experience as a liaison between the Finance function and IT to provide technical and business solutions that meet user needs.
Experience in analyzing and evaluating design existing and/or proposed systems.

 
 
Raj Vemula
Director - Resource Development 
Direct:   469-533-7012
Fax:        972-234-5732
Email:    [Click Here to Email Your Resumé]
Web:     www.infovision.com
 
 
 

 
 
Title: Sr Business Analyst (Oracle E-Business Suite exp)
Location: Irving, TX
Duration: Long term contract
 
JOB SUMMARY:

Responsible for hands on service delivery, support and operations of Oracle E-Business Suite and related application. In collaboration with internal departments and external resources, plans, designs and implements projects. Ensures the effective operation of Oracle E-Business Suite.

ESSENTIAL JOB DUTIES:

Serve as liaison to the business team and perform tasks required to implement, support, configure and enhance Oracle EBS and related products.
Knowledge on Oracle modules (GL, FA, AP, AR, Purchasing, Sub-Ledger Accounting and Workflow).
Under general supervision, formulate and define system scope and objectives through research as well as utilize your understanding of the applicable business systems and industry requirements.
Collaborate with internal departments and external resources to translate business needs to technical requirements and designs, ensuring solutions meet customer requirements.
Conduct business process analyses, needs assessments to align information technology solutions with business initiatives.
Translate high-level business requirements to functional specifications for IT and manage changes to those specifications.
Analyze and evaluate existing and/or proposed systems.
Create detailed business requirements and other documents in support of projects.

EDUCATION AND/OR EXPERIENCE:

Bachelor Degree/MBA in Information Systems, Finance/Accounting or equivalent experience.
Minimum of 2 years of experience in Oracle Financials in various versions including  
Experience in providing functional support to business users.
Experience as a liaison between the Finance function and IT to provide technical and business solutions that meet user needs.
Experience in analyzing and evaluating design existing and/or proposed systems.

 
 
Raj Vemula
Director - Resource Development 
Direct:   469-533-7012
Fax:        972-234-5732
Email:    [Click Here to Email Your Resumé]
Web:     www.infovision.com
 
 
 
",Contractor,2 years,Consulting,"Irving, TX",NA,Sr Business Analyst (Oracle E-Business Suite exp),NA
9,General Business,Bartech Group,Degree - 4 Year Degree,"
Job Description If you are an experienced Business Analyst looking for a position with a leading company, Bartech can help! We are a leading staffing firm and our clients include some over the nation’s biggest companies. Our client has a need for a Business Analyst. This is a contract position; however it is not uncommon for assignments to transition into permanent positions with our client companies. If you have the background we are looking for, and you are interested in an opportunity to get your foot in the door with leading company, we want to talk with you!  Business Analyst          Job Responsibilities                                                Your specific duties as a Business Analyst will include:         Analyzes company functions, processes, and activities to improve computer-based business applications for the most effective use of money, materials, equipment, and people. Utilizes available computer systems resources and personnel to carry out analysis to support management's quest for performance improvement. Reviews and analyzes information, forecasts, methods, schedules, systems, processes, and procedures. Determines most useful business solutions for the company. Recommends alternative solutions to management as to courses of action that best meet the organization's goals. Performs duties concerned with the design and improvement of computer-based business systems. Works closely with senior managers to identify and solve a variety of computer-based business system problems. Analyzes requirements, procedures, and problems to automate processing or to improve existing business systems. Confers with personnel of organizational units involved to analyze current operational procedures and identify problems. Solicits from management symptoms of problem, formally defines the problem, breaks problem into component parts, and gathers information about each of these parts from a variety of sources. Selects the most appropriate analytical technique. Utilizes several study techniques including simulation, linear and nonlinear programming, dynamic programming, queuing and other stochastic-process models, Markov decision processes, econometric methods, data envelopment analysis, neural networks, expert systems, decision analysis, and the analytic hierarchy process. Writes description of business needs, business program functions, and steps required to develop or modify computer-based business systems. Reviews computer system capabilities, workflow, and scheduling limitations to determine if requested program or program change is possible within existing system. Studies existing computer-based business systems to evaluate effectiveness, and develops new systems to improve production or workflow as required. This position provides a wide array of weekly and ad-hoc tasks depending on project size and staffing. Collecting and maintaining data for the Project work stream plan Validating of required reports; Assisting with maintenance, tracking and resolution of issues and action items. Collecting and maintaining project plan and schedule data, working in conjunction with Project Scheduler. Elevating risk triggers to Project Manager. Updating and maintaining living documents. Assisting with QA, test planning, test execution and resolution of defects found. Coordinating technical dependencies with other work streams. Maintain risk register, issues and action item logs. Maintain project living documents. Work shop coordination and participation. Collection of data for status reporting. Producing business process maps. Document business requirements. Tracing process mapping to business requirements. Ensuring traceability of project scope and functional requirements to technical requirements. Conducting gap analyses of final technology solutions against both functional and technical requirements.    Business Analyst Job Requirements As a Business Analyst you must represent our company well by being responsible, punctual and motivated to go above and beyond the call of duty. You must also be highly detail-oriented and organized with excellent analytic and problem-solving abilities. It is also important that you display excellent verbal and written communication and interpersonal skills.  0-3 years’ experience. The individual needs to be able to work independently and a self-starter with the ability to work in a large matrix organization requiring collaboration with IT and across business support teams including Change Management, Business Process Management, Training and Business PMO/Governance. Strong analytical and technical background. Familiar with application development and delivery lifecycle. Project experience in technology deployments from a business perspective. Experienced with the use of MS Excel, PowerPoint and Word. Comfortable with presenting materials to all levels of management.    Business Analyst Benefits  As a Business Analyst with Bartech, you will be working through an established and respected staffing organization with 40 years of serving as a trusted partner to our client companies. We are dedicated to providing our talent with personal, responsive attention, and will assign an employee care representative to answer any questions or concerns that you might have. Depending upon the client, the assignment and your performance, you can find potential opportunities for direct employment. Your hard work and professional dedication will be rewarded with competitive compensation, including benefits. Available benefits for Business Analyst Position may include (but are not limited to):  Exceptional medical, dental, and vision 401(k) Paid time off, including holidays  Make the most of your experience! Apply now!  Applicant must be eligible to work in the US for immediate opening.
",Contractor,Experience - At least 1 year(s),Energy - Utilities - Gas - Electric,"Charlotte, NC",NA,Business Analyst,NA
