,category,company,degree,details,employment_type,experience,industry,location,salary,title,travel
0,Information Technology,Eliassen Group,NA,"
Our client is dedicated to ensuring the integrity of the financial market and protecting investors.  With over a dozen various “Best Places to Work” awards, our client has proven that a position with them is more than a just a job.  They are currently looking for a Business Intelligence Developer now to join their award winning team. As a member of an Agile team, you will be analyzing large data sets for comprehension and data anomaly discovery, and looking for ways to leverage this data to support their regulatory mission. Responsibilities of the Business Intelligence Developer:  Participate in requirements gathering and development of design Perform in multiple aspects of the SDLC Design, develop, and maintain Oracle SQL, PL/SQL processes to support BI solutions Design, develop, and maintain COGNOS reports and framework models Upgrade/migrate COGNOS reports/dashboards to cloud/AWS  Requirements of the Business Intelligence Developer:  Bachelor's degree Experience working with:  Multiple BI tools such as COGNOS or Tableau Relational databases such as Oracle, PostgreSQL Logical data modeling JavaScript Data warehousing Data models Agile methodologies  Excellent communication skills AWS cloud experience is a plus  Job ID: 305447 About Eliassen Group: Eliassen Group provides strategic talent solutions to drive our clients’ innovation and business results. Leveraging nearly 30 years of success, our expertise in IT staffing, Agile consulting, creative services, managed services, and life sciences enables us to partner with our clients to execute their business strategy and scale effectively. Headquartered in Reading, MA and with offices from coast to coast, Eliassen Group offers local community presence, deep networks, as well as national reach. For more information, visit http://www.eliassen.com. Eliassen Group is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status. Don’t miss out on our referral program! If we hire a candidate that you refer us to then you can be eligible for a $1,000 referral check!
",Contractor,NA,Employment - Recruiting - Staffing,"Rockville, MD",NA,Business Intelligence Developer,NA
1,Information Technology,Signature Consultants,Degree - 4 Year Degree,"
Power BI Developer Summary:Signature Consultants is looking for a Power BI Developer to work on a contract position with one of our clients located in Davie, FL. The Power BI Developer is required to have advanced knowledge of report and dashboard creation from DWH and OLAP cubes (SSAS) for this role.Requirements:
Power BI and Power BI DAX (Data Analysis Expression) Developer
Row Level Security to restrict access to different users based on roles and permissions
Data Modeling and T-SQL queries for relational and multidimensional databases
Query Performance and tuning
Nice to have Qualifications:
SSRS (SQL server reporting services)
Scrum methodology
Familiarity with Ticketing systems preferable System Center Service Manager
Four-year college degree in Computer Science, Management Information Systems (MIS), Mathematics, Industrial Engineering, or related field.
About Signature Consultants, LLCHeadquartered in Fort Lauderdale, Florida, Signature Consultants was established in 1997 with a singular focus: to provide clients and consultants with superior staffing solutions. For the seventh consecutive year, Signature was voted as one of the ""Best Staffing Firms to Work For"" and is now the 14th largest IT staffing firm in the United States (source: Staffing Industry Analysts). With 26 locations throughout North America, Signature annually deploys thousands of consultants to support, run, and manage their clients' technology needs. Signature offers IT staffing, consulting, managed solutions, and direct placement services. For more information on the company, please visit www.sigconsult.com.
",Full-Time,NA,"Computer Hardware, Computer Software","Plantation, FL",NA,Power BI Developer,NA
2,Information Technology,MDI Group - IT Workforce Solutions for What's Next,NA,"
Senior BI ""Qlik"" Developer Location: Chandler, AZ  Description: Responsible for the ongoing support of existing BI solutions, as well as development of new functionality to include reports, dashboards and sophisticated business intelligence solutions, in order to enable colleagues to support tactical and strategic decision making. Extracts, models, transforms, and loads data into databases required for Business Intelligence (BI) delivery. Collaborates with EIS to deliver production ready data assets in support of BI delivery requirements.   Essential job responsibilities: Designs and builds complex BI solutions including reports, scorecards and dashboards, based on specifications as requested.  Understands complex business requirements and translates into technical specifications.  Designs and creates the code for data quality solutions.  Decides data sourcing approach.  Performs complex data analysis and system profiling to create clear data definitions.  Incorporates complex new data requirements and/or new applications into the warehouse environments.   Qualifications:    Bachelor’s degree or an equivalent combination of education and related work experience 5+ years of work experience as a Business Intelligence Developer Work experience with multiple database platforms and BI delivery solutions 5+ years of experience with ETL, data modeling BI and Analytics data marts and cubes, implementing and supporting production environments. 3+ years of experience designing, building and implementing BI solutions with modern BI tools like Qlik, Microsoft or Tableau Experience implementing self-service solutions to empower an organization to generate valuable actionable insights Strong team player is a must Ability to understand information quickly, derive insight, synthesize information clearly and concisely, and devise solutions Inclination to take initiative, set priorities, take ownership of assigned projects and initiatives and drive for results, and collaborate to achieve greatest value Strong relationship-building and interpersonal skills Demonstrated self-confidence, honesty and integrity Ability to travel as business needs require (expected < 5%)  Preferred Requirements:  At least 2+ years of experience delivering BI solutions with Qlikview or Qlik Sense Experience as a Data Architect 
",Full-Time,Experience - At least 3 year(s),Internet - ECommerce,"Chandler, AZ",NA,"Senior BI ""Qlik"" Developer",NA
3,Information Technology,The Select Group,Degree - 2 Year Degree,"
SENIOR BI ANALYST - RALEIGH, NC  The Select Group is currently seeking a Senior BI Analyst for one of our clients located in Raleigh-Durham area! The ideal candidate will have prior experience developing reports in Cognos, will have involvement either in the finance industry or with a finance department, and will also have a business analyst mindset. They will be responsible for leading the design and support of enterprise-wide business intelligence applications and architecture including analyzing business needs and translating them into technology as well as process solutions/optimization. If you are passionate about analysis and developing business solution this role may be a fit for you! SENIOR BI ANALYST RESPONSIBILITIES:

Work with Finance stakeholders to understand business needs and develop business acumen.



Gather and analyze business requirements from stakeholders and, based on findings, design functional specifications for BI front-end applications. 



Serve as a thought leader and implementation strategist for BI systems that deliver meaningful and actionable information to key business personnel.



Work projects through to completion while keeping project team members, stakeholders, vendors and ITS management informed of issues and overall status. May coordinate small projects as well.



Identify inefficiencies and gaps (data integrity, scalability, security, performance, manageability, etc.) in current BI environment and recommend solutions.


SENIOR BI ANALYST REQUIREMENTS:

5+ Years reporting/developing with Cognos.



Excellent knowledge of MS Word, Outlook, PowerPoint, Excel.



General knowledge of or skills in participating in planning, design, or implementation activities under the direction of project leaders while completing tasks in the prescribed time and reporting status or issues to project leaders.



General knowledge of or skills in coordinating projects providing scope definition, risk analysis, and status updates to appropriate parties, as well as leadership to the project team.



Attention to detail and accuracy.


About The Select Group:We are TSG - a fast-growing technical services firm serving the U.S. and Canada. We open doors to diversified prospective employers who respect and value your ambitions, your pursuit of a meaningful career, and your particular skill-set. We offer interview guidance, an impressive referral program, and partner with you to find work that drives you. Learn more about us in our company overview video, or visit us at http://www.selectgroup.com. Sign up to receive weekly job alerts in your inbox by joining the TSG Talent Network.We have the privilege of impacting lives, so let us impact yours.The Select Group provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, gender, sexual orientation, gender identity, national origin, age, disability, genetic information, marital status, amnesty or status as a covered veteran in accordance with applicable federal, state, and local laws.
",Contractor,5+ Years,Other Great Industries,"Raleigh, NC",NA,Senior BI Analyst,NA
4,Information Technology,eXcell,Degree - 4 Year Degree,"
Did you know that Gartner positioned eXcell as a Leader in its Magic Quadrant for End User Outsourcing? Come work for the leader today! The Business Intelligence (BI) Analyst identifies business intelligence, reporting, and data analysis needs. They work closely with clients and IT teams to turn data into critical information and knowledge that can be used to make sound business decisions. They provide data that is accurate, congruent, and reliable, and ensure the information is easily available to users for direct consumption or integration with other systems. Overview:

Work with clients (internal or external) to determine business requirements, priorities, define key performance indicators (KPI)
Build an understanding of the business at a level of detail that enables them to identify and address critical issues
Educate and train clients to use the data as an analytical tool, displaying the information in new forms and content for the purpose of analysis and option exploration
Design and document dashboards, alerts, and reports either on a regular recurring basis or as needed
Conduct analyses of functional business processes and functional business requirements, and participate in the development of business cases in the support of process changes and/or IT projects
Provides design support for the development of business intelligence solutions
Works on medium to complex and cross-functional IT and business intelligence solutions
May perform analysis for a wide range of requests using data in different formats and from various platforms
Researches business problems and creates models that help analyze those problems


Qualifications:

5-7 years of related experience
Experience with business intelligence – reporting in BI dashboards, 2-3 years
Telemetry and instrumented data and log analysis, 2-3 years’ experience
Proficiency in Microsoft technology stack, 2-3 years
Degree in Computer Science or Engineering background


* * * Local Candidates Only * * * Relocation assistance is not on offer.

W2 only, no Corp to Corp. We are unable to sponsor H1B visas at this time. **eXcell™ Supports Equal Employment Opportunity** eXcell™, a division of CompuCom® Systems, Inc., a global company headquartered in Bellevue, Washington, provides IT staffing services and solutions to Fortune 1000 companies as well as small and medium business. For more information, visit www.excell.com.
",Contractor,Experience - At least 5 year(s),Computer Software,"Redmond, WA 98052",NA,Business Intelligence (BI) Analyst,NA
5,Information Technology,GDH,Degree - 4 Year Degree,"
BI Visualization SpecialistThe primary responsibility of the Business Intelligence Visualization Specialist is to develop complex Enterprise and Divisional level dashboards utilizing the full array of features including DAX queries.This role is also responsible for administration of the tools and technologies related to Power BI, stored procedures, SQL authoring, SSAS Cube creation and Data Governance.The BI Visualization Specialist is a ""hands on"" technologist, responsible for outlining detailed wire frames as well as building visual analytic solutions, prototyping and proof of concept activities.The ideal candidate will be a self-directed individual capable of assuming ownership in executing Business requirements, managing customer expectations and focused on delivering the right results atagreed upon timelines.Technical aptitude, programming skills, effective oral and written communication skills, and the ability to present insights in a clear concise and effective manner are critical and necessary in this role._____________________________________________________________________________________ Expert knowledge connecting Microsoft Azure-based Power BI to various data sources. Design, develop, and support dashboards, KPIs, and reports, sourced from a variety of data sources, using Power BI.Proficient in data transformation, consolidating data from multiple disparate sources, develop process workflows and wireframe sketches to help business design effective dashboard solutions.Experienced/Expert at data visualizations, advance calculations and analytical user interfaces, using Slicers, Lines, Pies, Histograms, Maps, Scatter, Bullets, Heat Maps, Tree maps, etc. using Power BI.Knowledge of cascading parameters, row-level security, and cube value formulas. Analyze business and technical requirements, as well as Enterprise warehouse data models, to understand data management requirements.Ability to be detail-oriented, self-motivated, and an excellent, creative problem-solver, with proven ability to successfully manage multiple disparate streams of work in a challenging, dynamic environmentExperience with the Software Development Life Cycle and ETL Processes. Technical expertise regarding data mining, database design development, data modelling, data governance and unit testing.Demonstrate solid organizational and time management skills with ability to perform detailed tasks with high degree of accuracy.Excellent communication and presentation skills and must possess exceptional ability to work well with individuals and teams at all levels, across all division's.Must have ability to work in a structured environment as well as performing in high-pressure ad hoc mode to address urgent needs.Strong interpersonal and consultative skills to translate and understand reporting requirements. Ability to work as part of a team, as well as work independently or with minimal direction Leverage industry best practices in establishing repeatable BI practices, principles & processes.Document project specific processes and data flows, data dependencies, data definitions and relevant business rules. Required:Bachelor's degree in Computer Science, Data Science, MIS, Mathematics or related area and Demonstrated analytical and computer proficiency necessary through a combination of work and class work.3+ years of experience in Business Intelligence, as a programmer, systems analyst, database analyst, data warehouse specialist or database admin role.Microsoft Power BI Certification and 2+ years of in depth experience developing Advanced Power BI dashboard solutions supporting Enterprise Reporting and Analytics using SSIS, SSAS and Power BI.Expert creating different visualizations using Slicers, Lines, Pies, Histograms, Maps, Scatter, Bullets, Heat Maps, Tree maps, etc.Knowledge of various database platforms (DB2, SAP,MS SQL Server) required and experience with one or more of the following, Informatica, Azure Cloud, IoT, MuleSoft, AQT, ErWin Data Modeling.Able to quickly grasp both technology and business concepts in an ever-changing environment. Develop quick Power BI prototype visualizations using local datasets while working in parallel with data integration team for data automation.Convert functional requirements into technical specifications. Perform data analysis, data mapping, functional testing, unit testing, and test case preparation using required tools based on project needs.Design and develop DDL scripts, ad hoc queries and data models for high performance projects and deliverables. Understand and evaluate existing SQL scripts and Data Models. Demonstrate ability to communicate technical recommendations to a non-technical audience in a clear and concise manner.Demonstrate ability to understand logical relationships and to ensure that programming faithfully replicates these relationships.Demonstrated ability to test and validate programming steps. Must have working knowledge of Performance optimization in Power BI.Familiar with Windows operating system, shell scripting. Proficient with MS Office tools like PowerPoint, MS Project, Visio, Excel and Word.Must demonstrate strong written and oral communication skills. Preferred:
3+ years of hands-on experience with R, Python, MML, SAS Enterprise Miner or similar tools in support of on-demand, real-time analytic services.Ability to work with diverse set of data sources, such as Streaming Data, Time series data, semistructured and unstructured data.Ability to apply and develop appropriate statistical, machine learning, and/or deep learning models and algorithms to classify structured or unstructured data.Interested candidates please send resume in Word format to [Click Here to Email Your Resumé] Please reference job code 50559 when responding to this ad.GDH Consulting, Inc. provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability, genetic information, veteran's status or any other category protected by law. In addition to federal law requirements, GDH Consulting, Inc. complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities and/or employees. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation, benefits and training.
",Contractor,Experience - At least 3 year(s),"Computer Hardware, Computer Software","Kansas City, MO",NA,BI Visualization Specialist,NA
6,"Engineering, Information Technology, Design",Robert Half Technology,NA,"
Ref ID: 04600-0010408370Classification: Business AnalystCompensation: $35.00 to $39.00 per hourRobert Half Technology has an immediate opportunity for an experienced Business Intelligence Developer. This is a temp to full time opportunity in Milwaukee WI. Responsibilities include: Application / Web Development Plans, documents, designs, develops, tests, debugs, and implements code and databases to industry standards. Design and develop departmental business intelligence, data warehousing and reporting solutions. Work with business users to establish reporting and analytic requirements. Assists in translating user's needs into technical deliverables. Understand integration points and develops solutions which interface with new and existing applications. Translate business requirements into report specifications. Develop and implement reports and queries in support of business analytics. Develop and implement interactive analytic reports and dashboards. Provide technical and business knowledge support to the team. Compile ad-hoc data and report requests. Ensure effective communication of user requirements. Development of web-based code including database and user interface design. Conduct and attend user meetings. Implementation and training assistance. SQL Development / BI / SSRS Administration of enterprise databases, to include the safekeeping, integrity and availability of the organization's data. Develops database systems and user interfaces to automate manual processes.

SSIS - SQL Server Integration ServicesTechnology doesn't change the world. People do.As a technology staffing firm, we can't think of a more fitting mantra. We're extreme believers in technology and the incredible things it can do. But we know that behind every smart piece of software, every powerful processor, and every brilliant line of code is an even more brilliant person. Leader among IT staffing agenciesThe intersection of technology and people  it's where we live. Backed by more than 65 years of experience, Robert Half Technology is a leader among IT staffing agencies. Whether you're looking to hire experienced technology talent or find the best technology jobs, we are your IT expert to call. We understand not only the art of matching people, but also the science of technology. We use a proprietary matching tool that helps our staffing professionals connect just the right person to just the right job. And our network of industry connections and strategic partners remains unmatched.Apply for this job now or contact our branch office at 888.674.2094 to learn more about this position.All applicants applying for U.S. job openings must be authorized to work in the United States. All applicants applying for Canadian job openings must be authorized to work in Canada.© 2018 Robert Half Technology. An Equal Opportunity Employer M/F/Disability/Veterans.By clicking 'Apply Now' you are agreeing to Robert Half Terms of Use.
",Contractor,65 years,"Computer Hardware, Computer Software","Milwaukee, WI 53219",$35.00 - $39.00 /Hour,Business Intelligence (BI) Consultant,NA
7,"Engineering, Information Technology, Design",Robert Half Technology,NA,"
Ref ID: 00900-9501199278Classification: IS/IT DirectorCompensation: $90,000.00 to $120,000.00 per yearOur client is seeking a full time permanent Senior Business Intelligence professional to join their team in Sandy Springs Atlanta, GA for up to $120,000. This client is a rapidly growing organization so they need someone that has experience wearing a lot of hats! Previous experience working in a start up, healthcare, or insurance organization a plus.

An ideal candidate would have: - Experience with DOMO would be huge plus; if not experience with at least one of the modern BI tools like Tableau, Microstrategy etc - Experience in actually building dashboards and ad hoc reports in these tools - Experience in working with multiple groups in the company to define their reporting/dashboarding needs - Experience working directly with the BI vendor and managing the relationship - Some functional knowledge around general business processes (like sales process or marketing automation or financial processes) Qualified candidates please apply and email resume to [Click Here to Email Your Resumé]Technology doesn't change the world. People do.As a technology staffing firm, we can't think of a more fitting mantra. We're extreme believers in technology and the incredible things it can do. But we know that behind every smart piece of software, every powerful processor, and every brilliant line of code is an even more brilliant person. Leader among IT staffing agenciesThe intersection of technology and people  it's where we live. Backed by more than 65 years of experience, Robert Half Technology is a leader among IT staffing agencies. Whether you're looking to hire experienced technology talent or find the best technology jobs, we are your IT expert to call. We understand not only the art of matching people, but also the science of technology. We use a proprietary matching tool that helps our staffing professionals connect just the right person to just the right job. And our network of industry connections and strategic partners remains unmatched.Apply for this job now or contact our branch office at 888.674.2094 to learn more about this position.All applicants applying for U.S. job openings must be authorized to work in the United States. All applicants applying for Canadian job openings must be authorized to work in Canada.© 2018 Robert Half Technology. An Equal Opportunity Employer M/F/Disability/Veterans.By clicking 'Apply Now' you are agreeing to Robert Half Terms of Use.
",Full-Time,65 years,"Computer Hardware, Computer Software","Atlanta, GA 30328","$90,000.00 - $120,000.00 /Year",Senior Business Intelligence,NA
8,"Information Technology, Engineering, Professional Services",CyberCoders,Degree - 4 Year Degree,"
This position is open as of 4/23/2018.Sr. Business Intelligence Developer - Amazing PositionIf you are a Sr. Intelligence Developer with experience, please read on!Top Reasons to Work with UsBased in Redmond, WA, we are a top technology consulting, marketing, and creative partner. We are a firm that delivers tremendous value to our clients using our IT solutions. We are looking to continuously expand and climb the ladder even further.What You Will Be Doing-You will be translating and taking complex data that you will need to join, blend, and understand to delivery quality solutions-You will be focusing on analysis, reporting, visualization side of data. -Will deliver projects with stakeholders business by utilizing different tools and methodologies-Identify source data issues/concerns, and work with appropriate personnel to address these issues-Deliver high quality projects on time and budget in fast paced environmentsWhat You Need for this Position-5+ years of Business Intelligence Development and MUST have experience with MSBI STACK-SSAS-SSIS-T-SQL-PowerBI/SSRS-DAX and MDX-Mentoring skills with consulting experience-Experience on SSRS, SSIS, and SSAS-Ability to develop reports in SSRS, Excel, PowerBI, or similar visualization toolsPreferred: -MSCE-Experience with MDX, DAX, and SSAS CubesWhat's In It for YouWe are offering a compensation package that includes benefits and a salary between $100K-$120K. We are based right in Redmond, WA, and have a culture that believes in a friendly work hard/play hard environment. We have ping pong tables, nerf guns, and focus on exceeding expectations.So, if you are a Sr. Business Intelligence Developer with experience, please apply today!Required SkillsBusiness Intelligence, Relational Databases, SQL Queries, SSAS, Ssrs, SsisIf you are a good fit for the Sr. Business Intelligence Developer - Amazing Position position, and have a background that includes:Business Intelligence, Relational Databases, SQL Queries, SSAS, Ssrs, Ssis and you are interested in working the following job types:Information Technology, Engineering, Professional ServicesWithin the following industries:ConsultingOur privacy policy: Your resume and information will be kept completely confidential.Looking forward to receiving your resume through our website and going over the job in more detail with you! CyberCoders, Inc is proud to be an Equal Opportunity Employer  All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.  Your Right to Work – In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.

Business Intelligence, Relational Databases, SQL Queries, SSAS, Ssrs, Ssis
",Full-Time,Experience - None,Consulting,"Redmond, WA 98052","$100,000.00 - $120,000.00 /Year",Sr. Business Intelligence Developer,NA
9,Information Technology,AllianceIT,Degree - None,"
Job Description: •    Experienced BI developer who will lead the work of a team of approximately 5 report developers to execute the strategic BI plan developed by the program and architect.•    This person will be responsible for design of a reporting system that supports rapid, reusable reporting components with row, column, dimension, and report level security controls.•    This role will be responsible for the production of a high -quality reporting that meets the business requirements. Must be able to interpret business requirements into functional stories. This role must be proficient in interacting with business users. •    This role will have a strong focus on user experience. This role will need to be able to balance functionality, look/feel, and performance. •    Must be able to lead teams in an AGILE environment and work with Product Owners and SCRUM masters to manage and execute on the backlog.•    The ideal candidate will have extensive BI background in developing reporting systems not exclusively isolated report development with solid understanding and exposure to Tableau.•    Extensive BI background in non-Tableau tools with a lesser degree of Tableau experience is acceptable when paired with the ability to translate that BI experience to the Tableau system. •    Experience in data management, data quality, compliance, or commercial lending preferred. •    This role will not have responsibility for server installation or system administrative setup. Must work on-site in Charlotte.

ONLY W2Job Title: Senior BI DeveloperLocation: Charlotte NC Duration: 18 months MUST HAVES:•    BI Systems development and design (10 years) •    Reporting security design (5 years) •    Tableau Report design and development (5 years) •    AGILE development (5 years)
",Contractor,Experience - 8 to greater than 15 years,Banking - Financial Services,"Charlotte, NC",NA,Senior BI Developer,Travel - None
