,category,company,degree,details,employment_type,experience,industry,location,salary,title,travel
0,"Engineering, Information Technology, Design",Robert Half Technology,NA,"
Ref ID: 04010-0010360315Classification: Database DeveloperCompensation: DOETake the next step into your career as a Database Developer by taking advantage of this terrific opportunity through Robert Half Technology. In this position, the Database Developer works intricately with database architecture to design, build, and develop systems. Candidates should possess a strong grasp on query writing and a real drive for operational development. This position is an opportunity for long term temporary-to-fulltime employment, based in the Frisco, Texas area. Your responsibilities in this role - Supply documentation and training to the Database Administrator. Also, provide training to other users when requested - Generate a database schema based on data type and application related function - Construct an efficient method for storing future database data - Design, code, and carry new relational databases

Must have deep expertise (2-5 years) in data warehouse and data mart development, data integration techniques, star/dimensional schemas. Hands-on expertise in developing ETL/ELT based programs across heterogeneous sources and targets  Must have demonstrated experience developing business intelligence reporting tools metadata and reports (at least 2-4 years) preferably using IBI Webfocus 8.0, at least 2 projects implementations experience. Also demonstrated experience in IBI tool administration, performance tuning techniques at server and metadata level  Must have at least 2 - 4 project implementations building data warehouses/data marts where he/she will show demonstrated expertise in engaging with business/technical stakeholders to understand business stakeholders, translate to technical requirements, build Source to target mapping documents, develop and test the ETL/ELT routines and support user acceptance testing  Must have excellent written and spoken communication skills and ability to engage with teams who may be remote  Supply documentation and training to the Database Administrator. Also, provide training to other users when requested  Generate a database schema based on data type and application related function  Construct an efficient method for storing future database data  Design, code, and carry new relational databases  Knowledge of common issues with database operations  Knowledge of extract transform loads  Solid understanding of business intelligence  Proficiency in T-SQL  Previous experience working as a Database Developer or a related role For more information or to be considered for the opportunity, please reach out with your updated resume! [Click Here to Email Your Resumé]Technology doesn't change the world. People do.As a technology staffing firm, we can't think of a more fitting mantra. We're extreme believers in technology and the incredible things it can do. But we know that behind every smart piece of software, every powerful processor, and every brilliant line of code is an even more brilliant person. Leader among IT staffing agenciesThe intersection of technology and people  it's where we live. Backed by more than 65 years of experience, Robert Half Technology is a leader among IT staffing agencies. Whether you're looking to hire experienced technology talent or find the best technology jobs, we are your IT expert to call. We understand not only the art of matching people, but also the science of technology. We use a proprietary matching tool that helps our staffing professionals connect just the right person to just the right job. And our network of industry connections and strategic partners remains unmatched.Apply for this job now or contact our branch office at 888.674.2094 to learn more about this position.All applicants applying for U.S. job openings must be authorized to work in the United States. All applicants applying for Canadian job openings must be authorized to work in Canada.© 2018 Robert Half Technology. An Equal Opportunity Employer M/F/Disability/Veterans.By clicking 'Apply Now' you are agreeing to Robert Half Terms of Use.
",Contractor,2-5 years,"Computer Hardware, Computer Software","Frisco, TX 75034",NA,Database Developer,NA
1,Information Technology,Affinity Express,Degree - 4 Year Degree,"
Open to candidates residing and are authorized to work in the US states.

Candidates must have the following skills:
 

Strong knowledge of MySQL and Oracle database systems; MS SQL Server experience a plus
Strong knowledge of Structured Query Language (SQL)
Strong knowledge of database design, ERDs, schema creation  

 
POSITION TITLE: Database Developer
The Database Developer is responsible for taking business requirements and creating database schema to reflect the intent of the requirements. This position will also help other developers to write efficient complex queries, profile and optimize query code as well as use capabilities of the database to improve performance. General database administration experience is a strong plus.
 
Position Responsibilities and Essential Duties:

Ability to work efficiently with MySQL and Oracle databases; any experience with SQL Server a plus
Ensure data integrity and system performance for all of our databases
Create and maintain the database schemas based on business and project requirements
Understand the intended use of the database structures & help educate development team members on them
Write efficient complex queries; assist developers to do the same
Create upgrade scripts to move changes from development to production
Support database management and provide help for upgrade and migration of databases to new releases
Maintain database documentation
Advise and guide systems development team members on database/file design, performance monitoring and application/maintenance design and tuning
Troubleshoot the incidents and problems reported on database systems
Work with IT and Client Solution team members to ensure the database integrity, high availability and security
Help provide the root cause analysis on the major incidents/problems

 

 

Education/Experience:

3-5 years in DB Development with MySQL and/or Oracle
Bachelor's degree or higher preferred
Strong knowledge of MySQL and Oracle database systems; MS SQL Server experience a plus
Strong knowledge of Structured Query Language (SQL)
Strong knowledge of database design, ERDs, schema creation  
Scripting or programming experience a plus (Python/PHP)
Detail-oriented, strong analytical and problem solving skills
Excellent communication and team-building skills
Ability to work independently
Ability to interact with business users and executive management and translate business requirements into technical implementations

 
Ability to travel; estimate under 25%
",Full-Time,Experience - 3 to 5 years,"Printing - Publishing, Advertising, Internet - ECommerce","Chicago, IL",NA,Database Developer,Travel - Up to 25%
2,Information Technology,Eliassen Group,NA,"
Our client is dedicated to ensuring the integrity of the financial market and protecting investors.  With over a dozen various “Best Places to Work” awards, our client has proven that a position with them is more than a just a job.  They are currently looking for a Database Developer now to join their award winning team. This is a long term position with a great benefit package that includes Medical, Dental and Vision benefits, 401k with company matching, and life insurance. Requirements of the Database Developer:  At least 5 years of experience in hands-on development, with a good mix of application development and database development At least 3 years of Unix Shell scripting experience Strong in SQL and PL/SQL experience in an Oracle 12c/11G/10G/ UNIX-based environment Strong understanding of performance analysis, tuning and optimization Willing and able to do the research necessary to define data and application requirements Familiar and stay current with industry best practices and trends related to data ingestion and database design/development Flexible and motivated to work in a fast-paced environment Willing to learn and implement new data technologies as needed Willing and able to support application/database development throughout the software life cycle from requirements analysis and design to implementation and maintenance Demonstrated experience working with other database and application developers to define application architecture/best practices  Job ID: 305226 About Eliassen Group: Eliassen Group provides strategic talent solutions to drive our clients’ innovation and business results. Leveraging nearly 30 years of success, our expertise in IT staffing, Agile consulting, creative services, managed services, and life sciences enables us to partner with our clients to execute their business strategy and scale effectively. Headquartered in Reading, MA and with offices from coast to coast, Eliassen Group offers local community presence, deep networks, as well as national reach. For more information, visit http://www.eliassen.com. Eliassen Group is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status. Don’t miss out on our referral program! If we hire a candidate that you refer us to then you can be eligible for a $1,000 referral check!
",Contractor,5 years,Employment - Recruiting - Staffing,"Rockville, MD",NA,Database Developer,NA
3,Information Technology,ConsultNet,Degree - 4 Year Degree,"
Our client, the largest Amazon Web Services (AWS) partner for data services, is looking for top talent to join their elite team of technologists to build and contribute to large-scale, innovative projects. Our client wants candidates who are eager to learn and grow with them as they work to move their market monitoring applications to modern big data platforms in the cloud where up to 60 billion market events are being processed each day.If you are a fast learner, have a sharp mathematical and technical mind and are interested in working for one of the biggest data users in the country in a fast-paced, open source environment, our client has an immediate need for a Database Developer.Qualifications: Bachelor's degree in a technical field such as computer science, computer engineering or related field required Five or more years as a hands-on technologist with a good mix of application development and database development. Strong in SQL and PL/SQL experience in an Oracle 12c/11G/10G/ UNIX-based environment. 3 or more years of UNIX shell scripting experience. Strong understanding of performance analysis, tuning and optimization Must be willing to roll up sleeves to do the research necessary to define data and application requirements.   Will be expected to support production activities which would require non-business hour availability. Must be familiar and stay current with industry best practices and trends related to data ingestion and database design/development. Must be flexible and motivated to work in a fast-paced environment Willingness to learn and implement new Data technologies as needed. Must be willing and able to support application/database development throughout the software lifecycle from requirements analysis and design through to implementation and maintenance. Must have demonstrated experience in working with other database and application developers to define application architecture/best practices.  
  Desired: AWS RDS experience PostgreSQL experience Experience working on an Agile/Scrum application team
  ConsultNet is an Equal Opportunity Employer. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, ancestry, citizenship, disability, age, military or veteran status, and other characteristics protected under federal, state and local law. 
",Contractor,NA,Securities,"Rockville, MD 20850",NA,Database Developer,NA
4,Information Technology,"WOONGJIN, INC.",NA,"
 WOONGJIN, INC. is looking for a talented Database Developer, for a company located in Irvine, CA WOONGJIN, INC. is a rapidly growing team who provides a range of unique, exceptional, and enhanced services to our clients. We have a strong moral code that includes the service of goodness without expectations of reward. We are motivated by the sense of responsibility and servant leadership.    Develop and maintain databases for the company. Ensure high levels of data availability. Evaluate and advise all technology components, such as software, hardware, and networking capabilities for database management systems and applications. Responsible for implementing data dashboards to all levels for the company. Diagnose and resolve Database access and performance issues. Produce ad-hoc queries and develop reports to support business needs.      8+ years in Data migration experience with Oracle SQL. Store procedure and PL SQL. Has Solid experience in developing enterprise applications. Excellent written and verbal communication skills. Must be a team player and a well-organized person. Bilingual (Korean and English)   ***NO C2C***
",Contractor,8+ years,Computer Software,"Irvine, CA",NA,Database Developer (Oracle SQL) - Bilingual (Korean and English),NA
5,"Banking, Finance, Information Technology",Huxley Associates,NA,"
One of the leading financial services firm is looking to add a Database Developer to their funding technology group. You will be working closely with key business and technology stakeholders to build out the warehouse to support the data analytics needs of the securities lending and repo desks. One of the key areas of focus will be the continued build out of the warehouse to support the securities lending desk's market color reporting which provided to external clients.Their current warehouse is being migrated to the latest version of IBMs DB2 Database offering. You will have the opportunity to work with columnar and distributed databases and related technologies to build a high performance warehouse which will be capable of supporting the ever evolving analytic needs of the business.Reponsibilities:
Involvement in all aspects of support and building out of the data warehouse including capturing requirements, implementing new feeds, presenting data to users via various mediums including extracts, dashboards & data visualisations.
Work closely with various business stakeholders to understand their objectives and requirements. Distilling these into technology deliverables and taking ownership of their delivery across all stages of the development lifecycle.
working across all layers of the technology stack.
Qualifications:
Extensive experience in data modelling and SQL that you could utilise in this role and be comfortable working across all layers of the technology stack.
The ability to work across multiple work streams in order to achieve business deliverables.
Commercial experience of DB2
Experience working with Sybase
Expertise in SQL
Strong data modelling skills
Knowledge of scripting (Python/Perl)
Extensive knowledge of working in a Linux based environment
Sthree US is acting as an Employment Agency in relation to this vacancy.
",Full-Time,NA,"Banking - Financial Services, Computer Software, Other Great Industries","New York, NY","$120,000.00 - $170,000.00 /Year",Database Developer,NA
6,"Engineering, Information Technology, Design",Robert Half Technology,NA,"
Ref ID: 01300-0010396088Classification: Database DeveloperCompensation: $90,000.00 to $115,000.00 per yearIf you're looking for work in the Insurance field, Robert Half Technology is looking for an experienced Database Developer with a strong relational database background. In this role, you will be working to design, build and develop database architecture. If you are skilled at writing queries and enjoy designing systems, we cannot wait to hear from you about this great Database Developer role. This Database Developer position will be a full-time opportunity based in the Rolling Meadows, Illinois area. Key responsibilities - Supply documentation and training to the Database Administrator. Also, provide training to other users when requested - Generate an efficient method for storing database data in the future - Generate a database schema based on data type and application related function - Plan out, code, and design relational databases This is a full time role offering a competitive base salary, full benefits package, and paid time off. If you are interested in this exciting opportunity

- Knowledge of common issues with database operations - Microsoft SQL Server experience - Strong ETL experience - Foundational knowledge in SQL server analysis services - SQL Server Reporting Services experience required - Proficiency in SQL Server Integration Services - Previous experience working as a Database Developer or a related roleTechnology doesn't change the world. People do.As a technology staffing firm, we can't think of a more fitting mantra. We're extreme believers in technology and the incredible things it can do. But we know that behind every smart piece of software, every powerful processor, and every brilliant line of code is an even more brilliant person. Leader among IT staffing agenciesThe intersection of technology and people  it's where we live. Backed by more than 65 years of experience, Robert Half Technology is a leader among IT staffing agencies. Whether you're looking to hire experienced technology talent or find the best technology jobs, we are your IT expert to call. We understand not only the art of matching people, but also the science of technology. We use a proprietary matching tool that helps our staffing professionals connect just the right person to just the right job. And our network of industry connections and strategic partners remains unmatched.Apply for this job now or contact our branch office at 888.674.2094 to learn more about this position.All applicants applying for U.S. job openings must be authorized to work in the United States. All applicants applying for Canadian job openings must be authorized to work in Canada.© 2018 Robert Half Technology. An Equal Opportunity Employer M/F/Disability/Veterans.By clicking 'Apply Now' you are agreeing to Robert Half Terms of Use.
",Full-Time,65 years,"Computer Hardware, Computer Software","Rolling Meadows, IL 60008","$90,000.00 - $115,000.00 /Year",ETL Developer,NA
7,Information Technology,Kforce Technology,NA,"
RESPONSIBILITIES:Kforce has a client that is seeking a Database Developer in Houston, Texas (TX)Responsibilities:
 As a Database developer, you will work with Business and IT Partners to understand the requirements, and be will be responsible for designing, developing, testing and documenting functionality to satisfy requirements of one or more user areas
 Follow and promote Agile practices
 Identify tactical implementations and recommend strategic future-state
 Research new technologies, identify and learn best practice, adapt quickly 
 Work with multiple globally distributed teams to deliver end-to-end solution across regions 
 Present and demo to users, stakeholders, and technology groups
 Promote excellent user experience and system performance
 Perform unit testing and system integration testing of the newly developed functionality
 Learn and maintain existing Legal systems



REQUIREMENTS:
 BS or MS in Computer Science or related field
 5+ years of application development experience
 Strong experience in Database concepts, database modeling, database related troubleshooting
 Experience with tools such as SSIS, Informatica
 Experience working with large complex technology projects in an Agile environment
 Experience in Pair Programming, CI and Test-Driven Development
 Prior eDiscovery technology experiences a huge plus
 Strong experience in Java / J2EE, Oracle, JASON, REST APIs, JavaScript, Apache Tomcat, Hibernate Frameworks 
 Architectural Experience in cloud web applications
 Experience in Pair Programming, CI and Test-Driven Development
 Hands on experience with rest based Web Services and Microservices
 Strong computer science fundamentals such as algorithms, data structures, multithreading, object-oriented development, distributed applications, client-server architecture
 Database development skills including Oracle, SQL, PL-SQL, relational data design, stored procedures and database performance tuning
 Knowledge of build tools like Maven and source control like Git / SVN
 T-Shaped / Broad skilled software development experience with deep skills in certain areas such as database queries and concepts, but also skilled in other areas such as Application Architecture, Analysis and Testing
 Solid analytical and problem-solving skills 
 Strong verbal and written communication skills
 Strong knowledge of design patterns, continuous integration and continuous delivery principles
 Strong knowledge of server-side design patterns, continuous integration and continuous delivery principles

Kforce is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status.
",Contractor,5+ years,Banking - Financial Services,"Houston, TX 77002",NA,Database Developer,NA
8,Other,Mastech Digital,Degree - 4 Year Degree,"
Mastech Digital provides digital and mainstream technology staff as well as Digital Transformation Services for leading American Corporations. We are currently seeking a Database Developer for our client in the Banking domain. We value our professionals, providing comprehensive benefits, exciting challenges, and the opportunity for growth. This is a Full-time position and the client is looking for someone to start immediately.

Duration: Full-time
Location: Pittsburgh, PA
Compensation: Best Market Rates

Role: Database Developer

Primary Skill: DB2

Role Description: The Database Developer would need to have at least 6+ years of experience in Database Development.

Responsibilities:

- Needs to have at least 6+ years of experience in Database Development (DB2, Teradata/Oracle).
- Design, develop, monitor, and performance tune database tables, views, indexes, stored procedures and functions.
- Designing highly complex conceptual, logical and physical data models.
- Work with business partners and other subject matter experts to identify, understand and document business needs for data.
- Design and develop ETL processes based on the data needs.
- Physical database design, semantic design, tuning and Logical design tweaking.
- Design and support analytical and performance needs includes views, partitioning, and indexes as appropriate.

Required Experience and Skills:

- Solid Knowledge of Data Management Concepts and Relational Databases.
- Preferred understanding and experience working with Mainframe and DB2.
- Strong SQL programming skills.
- Strong understanding in any of the Data modeling tools and ETL tools.
- Experience performing database rollouts and upgrades across different environments.
- Follow all prescribed Target processes, standards, and reviews.
- Thorough understanding of the software development lifecycle.
- Excellent verbal, written, and interpersonal communication skills.
- Expertise in Banking, Insurance and financial service preferred.

Responsibilities:

- Client Co-ordination for requirements, Development, Unit Testing, Deployment and Drive Delivery.

Skill Set:

- 6+ years of design, develop, monitor, and performance tune database tables, views, indexes, stored procedures and functions (DB2, Teradata/Oracle) - Advanced
- 2+ years of Mainframe experience - Basic
- 2+ years of experience in DB2 - Advanced
- 6+ years of SQL experience - Advanced

Education: Bachelor’s degree
Experience: Minimum 6+ years
Relocation: Yes, this position will cover relocation expenses
Travel: N/A
Local Preferred: Yes

We are looking only for candidates willing to join us directly as W2 employees 

Recruiter Name: Keyur Mukherjee
Recruiter Phone: 877.884.8834 (Ext: 2041)

EOE
",Full-Time,Experience - At least 5 year(s),Other Great Industries,"Pittsburgh, PA",NA,Database Developer,Travel - Negligible
9,Information Technology,Infogroup,Degree - 4 Year Degree,"
Infogroup is looking for top talent to join our fast-paced and innovative team. We are seeking a Sr. Database Developer to join our Burlington, MA office. This position is responsible for the design, development, operation and analysis of the Company's database marketing systems.

Essential Job Functions:
1. Develop, code, update, and maintain database processes.

2. Modify, test, and support applications for the purpose of upgrading or enhancing database software.

3. Design and develop PL/SQL processes to perform complex ETL processes.

4. Develop Unix and Perl scripts for data auditing and automation.

5. Construct and design documents and documentation to aid in maintenance and code reuse in accordance with team processes and standards.

6. Develop strong working relationships with managers and analysts.

7. Participate in code reviews in accordance to standards.

8. Analyze data needs and independently develop logical and physical data models.

9. Coordinate the implementation of database application components.


10. Interact with key partners and internal users regarding timelines, technical issues, and infrastructure integration.
11. Understand and work with data in with varying degrees of complexity and scale.

12. Coordinate and participate in application testing and quality inspections.

Knowledge, Skill, and Abilities:
1. Knowledge of relational database, and programming processing concepts.

2. Knowledge of software development lifecycles and methodologies.

3. Possesses advanced software development and scripting skills for use in automation and interfacing with databases.

4. Knowledge of ETL tools.

5. Knowledge of Oracle/MS SQL database skills (SQL, PL/SQL, TSQL).

6. Knowledge of MySQL, SQL Server and SQL tuning.

7. Knowledge of developing procedures, packages and functions in DW environment.

8. Knowledge of Unix and Linux.

9. Knowledge of Service Oriented Architecture (SOA).

10. Ability to multi-task, to work under pressure, and think analytically.

11. Ability to work with minimal supervision and meet deadlines.

12. Ability to write technical specifications and documents.

13. Ability to communicate with individuals at all levels in the company and with various business contacts outside of the company in an articulate, professional manner.

14. Knowledge of CRM, MDM and Business Intelligence is a plus.


Education, Experience, and Certification:
1. Bachelor's degree or equivalent computer related field or equivalent is required.

2. 5+ years of related experience is required.

3. Experience using TalenD or Ab Initio is a plus.


We're revolutionizing the way companies connect with their customers and grow their businesses. Find out how you can join the movement at www.infogroup.com/about-infogroup/careers-at-infogroup. Please reference requisition number BURL4418.

Infogroup is the leading provider of innovative business data, and marketing solutions that are proven to increase customer acquisition and retention. Our mission is to use a combination of our client's data and our business and consumer data and really smart people to deliver the right communication to the right audience at the right time -- for Infogroup, that's real-time. For more information, please visit www.infogroup.com.

At Infogroup, our employees are directly responsible for our success. We strongly believe in rewarding employees for their initiative, teamwork and leadership. Every day, we expect our employees to ask questions, demand better solutions and challenge one another to succeed. We are constantly looking for candidates who are not only qualified and knowledgeable, but also have the drive to grow professionally. We hire dynamic individuals in variety of fields such as information technology, account management and client services, sales, marketing, administration and human resources.

Affirmative Action/EEO Policy
At Infogroup, we are committed to attracting, retaining and engaging employees from all walks of life. Diversity is an important part of our values and business operations. We are dedicated to creating an inclusive environment that promotes professional development for everyone. As part of that commitment, Infogroup does not discriminate on the basis of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, sexual orientation, gender identity and/or expression, marital status, status with regard to public assistance, status as a disabled veteran and/or Veteran of the Vietnam Era or any other characteristic protected by federal, state or local law. All qualified applicants will receive consideration for employment. In addition, Infogroup will provide reasonable accommodation for otherwise qualified disabled individuals.


",Full-Time,Experience - At least 5 year(s),Other Great Industries,"Burlington, MA",NA,"Sr. Database Developer (Oracle, PL/SQL, ETL) - BURL4418",NA
