,category,company,degree,details,employment_type,experience,industry,location,salary,title,travel
0,Information Technology,"American Cybersystems, Inc. (ACS Group)",Degree - Graduate Degree,"





 Job Title: (IDS) Data Scientist 
 Location: Newport News VA 23607
 Duration: 12 month 

 Job Responsibilities: 
 ●  Designs, develops, and implements methods, processes and systems to consolidate and analyze diverse data sets including structured and unstructured.  
 ●  Develops software programs, algorithms, dashboards, information tools, and queries to clean, model, integrate and evaluate datasets.  
 ●  Keeps abreast of new analytic methodologies and technologies. Collaborates with functional business units to drive business solutions and direction.  

 Qualifications: 
 ●  Graduate degree (or equivalent industry experience), Ph.D. preferred, in Computer Science, Statistics, Operations Research, Mathematics, Neurosciences, or a related scientific discipline.  
 ●  Understanding and experience using machine learning techniques, including but not limited to Linear Models, Neural Networks, Decision Trees, Bayesian Techniques, Clustering, Anomaly Detection, and more.  
 ●  Experience with data science languages such as Python, R, MatLab, etc.  
 ●  Experience with machine learning framework, such as PyTorch, TensorFlow, Theano, Keras, etc.  
 ●  Great communication skills.  
 ●  Good applied statistics skills, such as distributions, statistical testing, etc.  
 ●  Good scripting and programming skills. 




Job Title:  Data Scientist
Location: Newport News VA 23607
Duration: 12 month

Job Responsibilities:

Designs, develops, and implements methods, processes and systems to consolidate and analyze diverse data sets including structured and unstructured. 
Develops software programs, algorithms, dashboards, information tools, and queries to clean, model, integrate and evaluate datasets. 
Keeps abreast of new analytic methodologies and technologies. Collaborates with functional business units to drive business solutions and direction 

Qualifications:

Graduate degree (or equivalent industry experience), Ph.D. preferred, in Computer Science, Statistics, Operations Research, Mathematics, Neurosciences, or a related scientific discipline. 
Understanding and experience using machine learning techniques, including but not limited to Linear Models, Neural Networks, Decision Trees, Bayesian Techniques, Clustering, Anomaly Detection, and more. 
Experience with data science languages such as Python, R, MatLab, etc. 
Experience with machine learning framework, such as PyTorch, TensorFlow, Theano, Keras, etc. 
Great communication skills. 
Good applied statistics skills, such as distributions, statistical testing, etc. 
Good scripting and programming skills.

",Contractor,Experience - 4 to greater than 15 years,Other Great Industries,"Newport News, VA",$50.00 - $70.00 /Hour,Data Scientist 2,Travel - None
1,NA,Real Staffing,Degree - Graduate Degree,"
Our client is seeking at Statistician to join their team on a long term temporary basis at their Madison, NJ office and is open to anyone that meets the minimum educational requirements (MS or PhD in Statistics or Biostatistics).  Responsibilities include but is not limited to:
Provides statistical support for protocol development, statistical analysis plan (SAP), statistical analysis, study reporting and publications as needed
Ensures that the study design is appropriate, and that appropriate statistical methodologies are used
Supports consumer behavior studies, submission related statistical activities, or periodic safety update as needed
Provides statistical expertise to develop and champion techniques intended to increase understanding of drug development problems and seeks creative solutions by pursuing active research through collaborations and interactions with other colleagues
In partnership with statistical leadership, establishes sound statistical bases for the design and analysis of studies and provides clear guidance to project or program teams for execution
Requirements:
Minimum 1 year pharmaceutical experience
MS or PhD in Statistics or Biostatistics
Excellent knowledge of statistical methodology and a working knowledge of computer systems
Strong knowledge in the SAS statistical analysis system is required, knowledge of other statistical analysis systems is a plus
Ability to explain statistical information to non-statisticians
Knowledge of regulatory requirements governing clinical research
Able to identify appropriate statistical methods for common scenarios that arise
Independently delivers outputs to agreed quality and milestones
Sthree US is acting as an Employment Business in relation to this vacancy.
",Full-Time,1 year,Pharmaceutical,"Madison, NJ 07940",NA,Statistician - 10437,NA
2,"Biotech, Research, Science",Kelly Engineering Resources,NA,"
NEW PRODUCT DEVELOPMENT STATISTICIAN – IRVINE, CA FULL BENEFITS INCLUDED Position Overview:Candidate will provide Subject Matter Expertise in Advanced Statistical Analysis for Medical Device product development teams and across the organization as required.  The majority of time will be spent developing statistical rationale for sample size.  Candidate will also provide regression analysis, ANOVA test support and design of other tests as requested. This position is slated through the end of 2018 with the potential for ongoing extension. Included in the benefits package is 401K, health insurance, 2 weeks of PTO per year, 1 week of sick time per year, and all paid holidays. Required Experience/Education:
 Three to Five years of hands on experience of Statistical support in a medical device or other manufacturing industry.  
 Must demonstrate specific experience with applying statistical methods, creating sampling plans and sample size calculations, and using data analysis in support of objective decision making; Regression Analysis; ANOVA Testing.
 Understanding of probability, statistical theory, statistical estimation, statistical process control, hypothesis testing, non-parametric statistics, time series analysis, linear and logistic regression (regression and classification modeling)
 A working knowledge of Statistical Analysis Software tools, such as, MiniTab, SPC Software, etc.
 Leadership ability in using problem solving techniques including root cause analysis and cause and effect analysis. Working knowledge in using investigational tools, such as, Cause and Effect Diagrams, Process Optimization, Design of Experiments, Trend Analysis, Capability Analysis, Control Charts, Pareto Charting, etc.
 Lead continuous improvement of the new product development processes and procedures and ability to integrate statistical techniques as a part of product development or design changes.
 Individual must have the ability to collaborate with cross functional teams and support current statistical methodologies used in the group.
 Education required is B.S. in a technical discipline at minimum.  Degrees may include Mathematics, Data Science, Analytics, Applied Statistics, Biostatistics or other related experience and/or training.
 Statistician, Quality or other Engineering discipline will be considered if they can demonstrate extensive experience in the above areas.


Why Kelly®?
Kelly puts you in charge of your career, with access to cutting edge projects and technologies in
industry leading organizations. Top companies throughout the world have trusted Kelly as a premier
source of engineering talent and services since 1965. And engineering job seekers know Kelly as a firm
with an unmatched reputation for quality, integrity and professionalism. Whether you seek the variety
and flexibility of working on short term project engagements, or prefer contract-to-hire or direct
hire placement with our clients, apply with Kelly to explore opportunities that suit your specific
professional interests.
About
Kelly Services®
As a workforce advocate for over 70 years, we are proud to directly employ nearly 500,000 people around the world and have a role in connecting thousands more with work through our global network of talent suppliers and partners. Revenue in 2017 was $5.4 billion. Visit kellyservices.com and connect with us on Facebook, LinkedIn and Twitter.
Kelly Services is an equal opportunity employer including, but not limited to, Minorities, Females,
Individuals with Disabilities, Protected Veterans, Sexual Orientation, Gender Identity and is
committed to employing a diverse workforce. Equal Employment Opportunity
is The Law.
",Full-Time,NA,Other Great Industries,"Irvine, CA",NA,Statistician,NA
3,Biotech,SVS Group,NA,"
SVS Group is in search of a Data Scientist for an up-and-coming biotech company.
Seeking only San Francisco Bay Area-based Data Scientists at this time.
Responsibilities:

Statistical analysis of experimental and user trial data - starting with ETL (extract, transform and load), including computation of confidence intervals, p-values, t-tests, etc.
Fit data to chemical and physical models and analyze results
Create analysis procedures that scale easily with both the amount of data being generated in the R&D group as well as during sensor production
Analyze historical database of in vitro and in vivo data
Present data and insights to the R&D and Engineering teams

Salary: DOE



Strong background in classical statistics (random processes, probability, point/interval estimation, hypothesis testing) and time series analysis
Excellent software development skills in Python and using numpy, scipy, pandas and other scientific computation libraries
Strong background in data mining, data analysis, and clear, readable report generation
Strong SQL skills
Experience with chemistry and experimental analysis
Ph.D. or Masters in Applied Mathematics, Statistics, Bio-statistics, Physics, Chemistry, Engineering or related field is preferred with +1 years of industry experience

",Full-Time,1 years,Healthcare - Health Services,"Burlingame, CA",NA,Data Scientist Needed for an Up-and-Coming Biotech Company,NA
4,Information Technology,HCL America Inc,Degree - 4 Year Degree,"

Data Science Services for Analytical Products in Merchandising  -

As a Statistician/Data Scientist, you collaborate with a team of modeling scientists and optimization scientists to deliver high quality predictive models and cutting-edge analytical solutions to clients (retailers). The position will bring analytical rigor and statistical methods to the challenges of predicting merchandising behavior. You will work closely with internal clients (Professional Services team, Implementation Managers) and/or external clients (retailers) to understand their business needs as well as to explain our analytical product.  



Responsibilities:

o Implement and validate predictive models and ensure successful customer delivery  
o Communicate with intern/external clients to understand business needs and provide analytical solutions  
o Investigate on forecast accuracy and provide insightful findings   

Qualifications: 

o Advanced degree in at least one of these fields: statistics, applied mathematics, optimization, computer science, physics (MS required, outstanding BA/BS candidates will be considered)  
o Understand statistical concepts such as regression, time series, mixed model, Bayesian methods, clustering, etc. 
o Experience with R, SAS, or other statistical software • Familiar with Unix environment  
o Responsible and detail oriented 
o Communication skills – capable to explain technical terms to clients/colleagues who have no analytical/mathematical background.

Location: Open

Travel: - 0-25% 


",Full-Time,Experience - 7 to 10 years,Computer Software,"Cary, NC",NA,Statistician/Data Scientist,Travel - Up to 25%
5,Information Technology,J.D. Power,Degree - Graduate Degree,"

Title: Senior Statistician

Location: Westlake Village, California

Reports to: Senior Director, Analytic Center of Excellence

 The Role:  As a Sr. Statistician in the Analytical Center of Excellence, you will analyze and interpret the results on survey research studies that measure customer satisfaction, provide technical statistical expertise and programming, and build Excel/SAS macros and other automation tools.  Your job is to work closely with other researchers and scientists in the development of sampling plans and analysis plans.  In addition, you will perform advanced multivariate statistical analysis on survey and non-survey data and interpret results for business users.  Preferred but not required skills:  Conjoint, Max Diff and related methodologies; Predictive Analytics/Big Data mining and analysis techniques.

 The Impact: You will support syndicated studies which address industry level consumer needs and serve as customer satisfaction benchmarks in a variety of industries such as Automotive, Financial Services, Insurance, Energy and Telecom. The outcome of your work will be used by clients to help them understand what is important to consumers, how their brand performs relative to their competition, what their brand needs to do to improve and the financial benefit of making these improvements.

 Responsibilities:

• Analysis and Statistical Modeling: Perform multivariate statistical analysis on survey data using SAS.  • Conjoint and Max Diff: Design, program and analyze choice modeling studies using Sawtooth. • Consultation:  Provide statistical consultation to internal JD Power teams as well as external clients.  Provide interpretation of study results. Provide research/analytical support for new business opportunities.  • Thought leadership: Working in collaboration with other team members develop, test, interpret and present research on new and innovative approaches, methods or technicians that can be applied to the advancement of our business.

 The Career Opportunity:  You will have the opportunity to work with industry experts to learn how different industries are structured and how they leverage consumer information to guide product development and service improvements efforts.  You will also have the opportunity to strengthen your research design and statistical skills by daily exposure to senior research staff at JD Power.

The Team / The Business:  The Analytical Center of Excellence has global responsibility for the research design, analyses planning and execution of all advanced analytics at JD Power.  Additionally, the team is responsible for establishing and monitoring the adherence of research best practices that serve as the basis for quality of all research products at JD Power.  Our role is critical to the success of not only individual studies, but to the strength and credibility of the JD Power brand.  You will report directly to the Marketing Sciences Sr. Director and join a team of highly educated and enthusiastic researchers and statisticians that collaborate regularly with each other and with other teams across the firm.

Our Hiring Manager says: I’m looking for someone who can work as part of a broader engagement team and can use our data to help companies understand what drives customer satisfaction for their industry.  This individual also has to work independently to create survey content and analyze data using statistical packages (SAS, SPSS).  In addition, this person will design and program conjoint studies using Sawtooth.  If you’re right for this role, you are a self-starter who is able to develop creative solutions to problems, not be afraid to ask questions as you learn our company’s culture and do it all with enthusiasm.

 

 



• Masters or PhD in Statistics, Econometrics, Psychology or related social science fields.• Travel, some overtime and weekend work is required as needed. • An advanced understanding of Multivariate Statistics, Research Design, Measurement Theory, Attitudinal Research.• Statistical packages—SAS (preferred), SPSS, R, Sawtooth (preferred).• Must be able to work effectively and collaboratively in a team oriented, global, and multi-cultural environment.  
",Full-Time,NA,Consumer Products,"30870 Russell Ranch RoadWestlake Village, California, CA 91362",NA,Senior Statistician,NA
6,Information Technology,Austin Fraser,Degree - Graduate Degree,"
Austin Fraser is working alongside a fantastic data driven organization in Austin in their search for Data Scientists to help build out their team.As a valued Data Scientist you will:
Retrieve, process and prepare a rich data variety of data sources such as social media, news, internal/external documents, emails, financial data, and operational data
Analyze and model structured data and implement algorithms to support analysis using advanced statistical and mathematical methods from statistics, machine learning, data mining, econometrics, and operations research
Perform Statistical Natural Language Processing to mine unstructured data, using methods such as document clustering, topic analysis, named entity recognition, document classification, and sentiment analysis
Utilize a diverse array of technologies and tools as needed, to deliver insights, such as R, SAS, Python, Spark, Hadoop, Qlikview, and Tableau
Participate in client engagements focused on Big Data and advanced business analytics, in diverse domains such as risk management, product development, marketing research, supply chain, public policy; communicate results and educate others through reports and presentations
Essentials for this position are:
A minimum of two years of professional experience working as a Data Scientist
Master's degree, or PhD in Computer Science, Statistics, Mathematics, Engineering, Econometrics, or related fields from an accredited college or university
Strong mathematical background with strong knowledge in at least one of the following fields: statistics, data mining, machine learning, statistics, operations research, econometrics, natural language processing, and/or information retrieval
Deep experience in extracting, cleaning, preparing and modeling data
Experience with command-line scripting, data structures, and algorithms; ability to work in a Linux environment and proficiency in analysis (e.g. R, SAS, Matlab) packages as well as proficiency in programming languages (e.g. Python, Ruby, Java, Scala)
For further details please submit a resume. Austin Fraser Inc is acting as an employment business in relation to this advert. As a professional company we gladly welcome applications from persons of any age and background and do not intend to discriminate with advert text and terminology.
",Full-Time,Experience - At least 2 year(s),Computer Software,"Austin, TX","$90,000.00 - $175,000.00 /Year",Data Scientist,NA
7,"Strategy - Planning, Research",FEP Search Group,NA,"
Partial Job Description 1) Provide statistics and data management support in clinical trials from protocol development to final study report 2) Provide guidance and maintain overall responsibility for statistical and database deliverables 3) Develop overall statistical strategy for project in conjunction with client 4) Plan and attend, as needed, statistical strategy and pre-IDE meetings with client and FDA 5) In conjunction with company clients, review protocol and prepare statistical sections, including sample size calculation, statistical analysis plan 6) Manage database & CRF development as well as review CRF & database design and edit check specifications 7) Develop and/or oversee statistical and database programming 8) Work closely with database developer, data management and statistical programmer in test runs 9) Identify data quality issues for key efficacy and safety variables 10) Perform or oversee statistical analysis of clinical data and development of reports required for submissions to government agencies and publications
Critical Requirements
Qualifications / Skills Required 1) Advanced degree in Statistics with minimum 5 years of biostatistical experience in clinical studies 2) Ability to propose and defend study designs and statistical methodology 3) Skilled at working independently in performing statistical analyses of data 4) Accomplished at working in a fast-paced, team-oriented environment 5) Ability to multi-task 6) Ability to define problems, collect data, establish facts and draw valid conclusions 7) Knowledge in general statistical theory and methods used in the medical device and pharmaceutical industries 8) Familiar with database structures and applications 9) Strong attention to detail 10) Excellent SAS programming skills 11) Good interpersonal communication skills 12) Excellent time and resource management skills
Compensation and Other Details
Base Salary: Competitive 

",Full-Time,Experience - At least 5 year(s),Other Great Industries,"Saint Paul, MN",NA,Statistician,NA
8,Information Technology,"Synergy Business Consulting, Inc.",Degree - 4 Year Degree,"
Data Scientist
Position Summary:
 
Seeking a talented, experienced and inquisitive Data Scientist to design and implement cutting edge solutions across a breadth of domain areas.  The ideal candidate is well grounded in a mathematical, statistical and probability background, with a broad knowledge of machine learning techniques and cognitive services.
 
This Data Scientist will focus on selecting, evaluating, and optimizing software solutions, code development, and integrations into IT systems as part of a growing Data Science. This individual will work with a multidisciplinary team of driven people to deliver end to end solutions that improve guest experience and address pain points of the business across applications such as Cloud Computing, Data Science Virtual Machines (Linux), Optimal Scripting Techniques, and Distributed File / Computational Systems.
 

Data Scientist-Essential Duties and Responsibilities:
 
A successful candidate will possess a strong background or operational familiarity in statistics, mathematics, modeling (predictive, forecasting, optimization).  The candidate should demonstrate a progressive maturation of prior technical and development projects from ad-hoc requests to fully fault-tolerant and optimized solutions architected into broader IT systems.  The candidate should also be capable of and willing to train and mentor colleagues on the proper training, development and deployment of technically robust and optimizing analytic solutions for data science applications.
 
This individual will be responsible for analytical support, data mining, scripting / programming, mentorship and stakeholder presentation within the framework of implementing, utilizing and expanding development and release best practices within the broader Data Science team. 
 
Data Scientist Major responsibilities include:
 
·         Apply several forms of statistical (hypothesis testing, sampling, modeling, probability, time-series) and machine learning (neural networks / deep networks, ensemble methods, natural language processing) methods to describe, predict and optimize desired analytical objectives from business stakeholders.
 
·         Manipulates high-volume, high-dimensionality data from varying sources to highlight patterns, anomalies, relationships and trends.
·         Evaluate the progress of the data science team and company at large on the acclimation of robust, optimal and faul-tolerant technical solutions for predictive, natural language and artificial intelligence tasks. Recommend steps to improve or enforce utilization of these methods.
·         Empower and enhance the capabilities of the broader data science team on the proper environment setup, optimal and faul-tolarant scripting of solutions, and efficiency of deployed models through training, mentoring and project assistance as needed. 
·         Collaborate with IT, Business and Analytics stakeholders to design and implement solution infrastructure, release schedules, and system needs into the wider company data architecture.
·         Assist with research related to customer based analytical practice and develop communications for management and strategies for building institutional knowledge. Work with product and enterprise teams via both Agile And Waterfall Methodologies.
 
·         Foster a ‘data-driven’ culture based on pragmatism and strategic decision through rigorous factual analysis at all levels.  Should be willing to engage outside the immediate team to expand data science footprint throughout organization.
 




 

Data Scientist Qualifications
·         Master’s degree in Statistics, Operations Research, Mathematics, Economics, Computer Science, Engineering, Physics, Chemical Engineering, Information Technology or field of comparable foundations in mathematical and statistical analysis through the use of models, algorithms or programmed solutions.
·         2+ years experience with any of the following programming languages: R, Python, Java, C++, C#, Scala, SAS or similar scripting languages.  Similar experience and proficiency with SQL required.
·         2+ years experience with a variety of information technology tools and practices including Software Engineering and Development (documentation, programming), Operations (event monitoring, software deployments, system administration), and Quality Assurance (positive / negative unit testing, maintenance)
·         Experience with data mining processes (SEMMA, CRISP-DM), data preparation, consolidation, imputation, transformation, interaction, variable reduction, modeling, maintenance, and post-mortem analysis.
·         Experience with statistical methods such t-test of means, Tukey-HSD tests of means on groups, ANOVA, Proportion tests, data normalization and scaling, univariate and multivariate outlier detection.
·         Experience with modeling techniques such as linear models, decision trees, neural networks, k-nearest-neighbor, support vector machines, cluster analyses, and ensembling methods.
·         Strong Oral and Written skills.

 
Data Scientist Preferred Qualifications in Addition to Basic Qualifications



         Experience with Agile Software Development


         Terminal or Shell scripting in Linux systems


         Experience in a large corporation or consulting firm with focus in marketing strategies, modeling, CRM and management sciences/statistics highly desired


         Experience with Deep Learning tools and packages such as TensorFlow, Keras, H2O, and Theano


        Experience with frameworks and languages designed for big-data analysis, including Hadoop, Spark, Hive, and Pig


        Experience with cloud computing frameworks or API’s such as Microsoft Azure, Amazon Web Services and IBM / Watson



 






Irvens André
Sr. Technical Recruiter
Synergy Business Consulting, Inc.
Technology | Relationships | Solutions
Office: 470-639-1491 | Email:iandre@synergybc.com  







",Full-Time,Experience - 1 to 10 years,Travel,"Miami, FL","$90,000.00 - $110,000.00 /Year",Data Scientist,Travel
9,"Pharmaceutical, Research",Yoh,Degree - Graduate Degree,"
Senior Statistician needed for a 12 month contract opportunity in the Clinical Statistics Oncology group with Yoh Scientific's client located in Whippany, NJ.The ideal candidate is well experienced in providing statistical expertise to cross-functional teams and ensures the use of appropriate and efficient statistical analysis methods during the development, submission and/or life-cycle management of Company products according to applicable global and regional standards, procedures and regulatory guidelines for oncology development studies and projects. Key Responsibilities:Collaborate with representatives from other functions to plan, execute, analyze and report relevant studies in the role of a study statistician for oncology clinical development studies under the guidance of an experienced statistician;  * Contribute to the preparation of the study protocol. Develops the statistical analysis plan for the study as appropriate, and is involved in reporting results in the clinical study report, ensuring overall consistency within and between projects;  * Develop the statistical analysis plan for the study as appropriate (including contributions to other deliverables such as TLF/ADS specifications) , and is involved in reporting results in the clinical study report, ensuring overall consistency within and between projects;  * Facilitate the overall organization and coordination of statistical activities for specific studies and small projects;  * Lead or participate in virtual cross-functional sub-teams within Medical Writing and Statistics Oncology;  * Assume responsibility for the production and accuracy of the statistical deliverables and interpretation of the results;  * Work independently at routine and complex statistical questions and tasks;  * Develop and implement standard processes for the analysis of routine (parts of) oncology studies;  * Oversee and ensure accurate and timely delivery of statistical work outsourced to external providers Qualifications:Education Requirement(s):  * PhD or MSc in Biostatistics, Statistics or Mathematics, or related field  Skill & Competency Requirements:  * Strong communication skills  * Ability to work independently as well as collaboratively, as required  * Good knowledge of statistical programming languages (including SAS and R)  * Fluent English skills  * At least two years' experience as a statistician with significant time spend in pharma, biotech or similar sector   Preferences:  * Substantial hands-on experience supporting phase I-III clinical studies in the Oncology therapeutic areaOpportunity is Calling, Apply Now!Recruiter: Shayne Nelson What's In It For You? We welcome you to be a part of the largest and legendary global staffing companies to meet your career aspirations. Yoh's network of client companies has been employing professionals like you for over 65 years in the U.S., UK and Canada. Join Yoh's extensive talent community that will provide you with access to Yoh's vast network of opportunities and gain access to this exclusive opportunity available to you.Medical, Dental & Vision Benefits401K Retirement Saving PlanLife & Disability InsuranceDirect Deposit & weekly epayrollEmployee Discount Program'sReferral Bonus Program'sYoh makes finding and applying for jobs simple. Partner with Yoh to find the right opportunities across multiple industries in the US and UK. Find out more here! Yoh, a Day & Zimmermann company, is an Equal Opportunity Employer, M/F/D/V. Click here to contact us if you are an individual with a disability and require accommodation in the application process.CB1
",Contractor,Experience - At least 5 year(s),Pharmaceutical,"Whippany, NJ",NA,Senior Statistician - Clinical Statistics Oncology,NA
